Independent,Relationship ID,P-Value,Relationship,Dependent,Type,Supported,Hypothesis ID,Mediator/Moderator,Source ID
292,93,NULL,Positive,290,0,0,126-6,NULL,126
291,94,0.01,Positive,290,0,1,126-7,NULL,126
294,95,0.01,Positive,290,0,1,126-8,NULL,126
293,96,0.01,Positive,290,0,1,126-9,NULL,126
288,97,0.01,Positive,290,0,1,126-0,NULL,126
294,98,0.01,Positive,288,0,1,126-1,NULL,126
292,99,0.01,Positive,288,0,1,126-2,NULL,126
331,100,0.001,Positive,330,0,1,137-1,NULL,137
333,101,0.001,Positive,331,0,1,137-2,NULL,137
332,102,0.01,Positive,331,0,1,137-3,NULL,137
332,103,0.001,Positive,330,0,1,137-4,NULL,137
333,104,0.001,Positive,332,0,1,137-5,NULL,137
376,105,0.001,Has effect,410,0,1,144-1,NULL,144
374,106,0.001,Has effect,376,0,1,144-2a,NULL,144
374,107,0.001,Has effect,410,0,1,144-2b,NULL,144
383,108,NULL,Has effect,374,0,0,144-3a,NULL,144
383,109,NULL,Has effect,376,0,0,144-3b,NULL,144
384,110,NULL,Has effect,374,0,0,144-4a,NULL,144
384,111,0.05,Has effect,376,0,1,144-4b,NULL,144
395,112,0.05,Has effect,374,0,1,144-5a,NULL,144
395,113,0.05,Has effect,376,0,1,144-5b,NULL,144
397,114,0.05,Has effect,374,0,1,144-6a,NULL,144
397,115,0.05,Has effect,376,0,1,144-6b,NULL,144
400,116,0.05,Has effect,374,0,1,144-7a,NULL,144
400,117,NULL,Has effect,376,0,0,144-7b,NULL,144
45546,118,0.05,Has effect,416,0,1,146-1,NULL,146
45546,119,0.05,Has effect,415,0,1,146-2,NULL,146
45546,120,NULL,Has effect,411,0,0,146-3,NULL,146
45546,121,NULL,Has effect,413,0,0,146-4,NULL,146
588,122,0.005,positive,601,0,1,173-1,NULL,173
589,123,NULL,positive,601,0,0,173-2,NULL,173
591,124,0.005,negative,601,0,1,173-3,NULL,173
597,125,0.005,positive,601,0,1,173-4,NULL,173
598,126,0.01,positive,601,0,1,173-5,NULL,173
600,127,NULL,positive,601,0,0,173-6,NULL,173
23739,128,0.05,Positive,23754,Regular,True,6564-1,,6564
23756,129,0.05,Positive,23740,Regular,True,6564-2,,6564
23743,130,0.05,Positive,23740,Regular,True,6564-3a,,6564
23743,131,0.05,Positive,23739,Regular,True,6564-3a,,6564
23759,132,0.05,Positive,23756,Regular,True,6564-3b,,6564
23759,133,0.05,Positive,23755,Regular,True,6564-3b,,6564
23746,134,0.05,Positive,23741,Regular,True,6564-4a,,6564
23762,135,0.05,Positive,23757,Regular,True,6564-4b,,6564
23746,136,0.05,Positive,23745,Regular,True,6564-5a,,6564
23762,137,0.05,Positive,23761,Regular,True,6564-5b,,6564
23747,138,0.05,Positive,23741,Regular,True,6564-6a,,6564
23763,139,0.05,Positive,23757,Regular,True,6564-6b,,6564
23748,140,0.05,Positive,23741,Regular,True,6564-7a,,6564
23764,141,0.05,Positive,23757,Regular,True,6564-7b,,6564
23748,142,0.05,Positive,23744,Regular,True,6564-8a,,6564
23748,143,,Positive,23745,Regular,False,6564-8a,,6564
23764,144,0.05,Positive,52638,Regular,True,6564-8b,,6564
23764,145,0.01,Positive,23761,Regular,True,6564-8b,,6564
23749,146,0.01,Positive,23745,Regular,True,6564-9a,,6564
23766,147,0.05,Positive,23761,Regular,True,6564-9b,,6564
23750,148,0.05,Negative,23741,Regular,True,6564-0a,,6564
23750,149,0.01,Negative,23761,Regular,True,6564-0b,,6564
23751,150,,Positive,23745,Regular,False,6564-1,,6564
23768,151,0.05,Positive,23761,Regular,True,6564-2,,6564
23767,152,0.05,Positive,23761,Regular,True,6564-3,,6564
23765,153,0.05,Positive,23757,Regular,True,6564-4,,6564
23739,154,0.05,Positive,23744,regular,True,6564-5a,,6564
23769,155,0.05,Positive,52638,regular,True,6564-5b,,6564
61678,156,0.05,Negative,61680,Regular,,12085-1a,,12085
61677,157,0.01,Negative,61680,Regular,,12085-1b,,12085
61676,158,0.01,Positive,61680,Regular,,12085-2,,12085
61665,159,0.01,Has affect,61680,Moderating,,12085-3,61676,12085
61665,160,0.01,Has affect,61680,Moderating,,12085-4,61678,12085
61665,161,0.01,Has affect,61680,Moderating,,12085-4,61677,12085
61676,162,0.05,Positive,61680,Moderating,,12085-5a,61678,12085
61676,163,0.01,Positive,61680,Moderating,,12085-6a,61677,12085
2066,164,0.001,positive,51799,Regular,True,879-1,,879
2066,165,0.001,positive,51800,Regular,True,879-1,,879
2066,166,0.001,positive,51801,Regular,True,879-1,,879
2067,167,0.001,positive,51798,Regular,true,879-2,,879
2068,168,0.01,positive,51797,Regular,True,879-3,,879
51810,169,,Positive,51806,Regular,,881-1,,881
51810,170,0.01,Positive,51808,Regular,True,881-1,,881
51810,171,0.001,Negative,51807,Regular,True,881-1,,881
51810,172,0.05,Negative,51809,Regular,True,881-1,,881
51810,173,0.01,Positive,51804,Regular,True,881-1,,881
51810,174,0.001,Positive,51805,Regular,True,881-1,,881
51802,175,,Positive,51806,Regular,False,881-1,,881
51802,176,0.05,Positive,51808,Regular,Partial,881-1,,881
51802,177,,Negative,51807,Regular,,881-1,,881
51802,178,0.01,Positive,51809,Regular,True,881-1,,881
51802,179,0.05,Positive,51804,Regular,Partial,881-1,,881
51802,180,0.05,Positive,51805,Regular,Partial,881-1,,881
2061,181,,Positive,51807,Regular,False,881-1,,881
2061,182,0.05,Negative,51809,Regular,True,881-1,,881
2061,183,0.05,Positive,51804,Regular,Partial,881-1,,881
51813,184,,Negative,51809,Regular,False,881-2,,881
51813,185,,Negative,51804,Regular,False,881-2,,881
51813,186,,Negative,51805,Regular,False,881-2,,881
51813,187,,Negative,51806,Regular,False,881-2,,881
51813,188,,Negative,51807,Regular,False,881-2,,881
51814,189,,Positive,51809,Regular,False,881-2,,881
51814,190,,Positive,51804,Regular,False,881-2,,881
51814,191,,Positive,51805,Regular,False,881-2,,881
51814,192,,Positive,51806,Regular,False,881-2,,881
51814,193,,Positive,51807,Regular,False,881-2,,881
51815,194,,Positive,51809,Regular,False,881-2,,881
51815,195,,Positive,51804,Regular,False,881-2,,881
51815,196,,Positive,51805,Regular,False,881-2,,881
51815,197,,Positive,51806,Regular,False,881-2,,881
51815,198,,Positive,51807,Regular,False,881-2,,881
51810,199,,Has effect,51806,Moderating,False,881-3,51813,881
51810,200,,Has effect,51807,Moderating,False,881-3,51813,881
51810,201,,Has effect,51809,Moderating,False,881-3,51813,881
51810,202,,Has effect,51806,Moderating,False,881-3,51814,881
51810,203,,Has effect,51807,Moderating,False,881-3,51814,881
51810,204,,Has effect,51809,Moderating,False,881-3,51814,881
51810,205,,Has effect,51806,Moderating,False,881-3,51815,881
51810,206,,Has effect,51807,Moderating,False,881-3,51815,881
51810,207,,Has effect,51809,Moderating,False,881-3,51815,881
51802,208,,Has effect,51806,Moderating,False,881-3,51813,881
51802,209,,Has effect,51807,Moderating,False,881-3,51813,881
51802,210,,Has effect,51809,Moderating,False,881-3,51813,881
51802,211,,Has effect,51806,Moderating,False,881-3,51814,881
51802,212,,Has effect,51807,Moderating,False,881-3,51814,881
51802,213,,Has effect,51809,Moderating,False,881-3,51814,881
51802,214,,Has effect,51806,Moderating,False,881-3,,881
51802,215,,Has effect,51807,Moderating,False,881-3,,881
51802,216,0.05,Has effect,51809,Moderating,True,881-3,,881
2061,217,,Has effect,51809,Moderating,False,881-3,51813,881
2061,218,,Has effect,51804,Moderating,False,881-3,51813,881
2061,219,,Has effect,51805,Moderating,False,881-3,51813,881
2061,220,,Has effect,51807,Moderating,False,881-3,51813,881
2061,221,,Has effect,51809,Moderating,False,881-3,51814,881
2061,222,,Has effect,51804,Moderating,False,881-3,51814,881
2061,223,,Has effect,51805,Moderating,False,881-3,51814,881
2061,224,0.05,Has effect,51807,Moderating,True,881-3,51814,881
2061,225,,Has effect,51809,Moderating,False,881-3,51815,881
2061,226,,Has effect,51804,Moderating,False,881-3,51815,881
2061,227,,Has effect,51805,Moderating,False,881-3,51815,881
2061,228,,Has effect,51807,Moderating,False,881-3,51815,881
51810,229,,Has effect,51806,Moderating,False,881-4,51812,881
51810,230,,Has effect,51807,Moderating,False,881-4,51812,881
51810,231,,Has effect,51809,Moderating,False,881-4,51812,881
51810,232,,Has effect,51806,Moderating,False,881-4,51812,881
51810,233,,Has effect,51807,Moderating,False,881-4,51812,881
51810,234,,Has effect,51809,Moderating,False,881-4,51812,881
51810,235,,Has effect,51806,Moderating,False,881-4,51812,881
51810,236,,Has effect,51807,Moderating,False,881-4,51812,881
51810,237,,Has effect,51809,Moderating,False,881-4,51812,881
51802,238,,Has effect,51806,Moderating,False,881-4,51812,881
51802,239,,Has effect,51807,Moderating,False,881-4,51812,881
51802,240,,Has effect,51809,Moderating,False,881-4,51812,881
51802,241,,Has effect,51806,Moderating,False,881-4,51812,881
51802,242,,Has effect,51807,Moderating,False,881-4,51812,881
51802,243,,Has effect,51809,Moderating,False,881-4,51812,881
51802,244,,Has effect,51806,Moderating,False,881-4,51812,881
51802,245,,Has effect,51807,Moderating,False,881-4,51812,881
51802,246,,Has effect,51809,Moderating,False,881-4,51812,881
2061,247,,Has effect,51809,Moderating,False,881-4,51812,881
2061,248,,Has effect,51804,Moderating,False,881-4,51812,881
2061,249,,Has effect,51805,Moderating,False,881-4,51812,881
2061,250,,Has effect,51807,Moderating,False,881-4,51812,881
2061,251,,Has effect,51809,Moderating,False,881-4,51812,881
2061,252,,Has effect,51804,Moderating,False,881-4,51812,881
2061,253,,Has effect,51805,Moderating,False,881-4,51812,881
2061,254,,Has effect,51807,Moderating,False,881-4,51812,881
2061,255,,Has effect,51809,Moderating,False,881-4,51812,881
2061,256,,Has effect,51804,Moderating,False,881-4,51812,881
2061,257,,Has effect,51805,Moderating,False,881-4,51812,881
2061,258,,Has effect,51807,Moderating,False,881-4,51812,881
51820,259,0.05,Has effect,51845,Regular,True,882-1,,882
51820,260,0.05,Has effect,51847,Regular,True,882-1,,882
51849,261,0.01,Positive,51820,Regular,True,882-2,,882
51851,262,0.05,Has effect,51820,Regular,True,882-2,,882
51852,263,0.05,Has effect,51820,Regular,True,882-3,,882
51853,264,0.01,Has effect,51820,Regular,True,882-4,,882
51855,265,0.05,No effect,51820,Regular,True,882-5,,882
51854,266,0.05,No effect,51820,Regular,True,882-6,,882
51856,267,0.05,Negative,51820,Regular,True,882-7,,882
51848,268,0.05,Has effect,51820,Regular,True,882-8,,882
51861,269,0.05,Has effect,51820,Regular,True,882-1,,882
51860,270,0.05,Has effect,51820,Regular,True,882-1,,882
51863,271,,Has effect,51820,Regular,False,882-2,,882
51961,282,0.05,Positive,51962,Moderating,True,884-1,52040,884
51961,283,0.05,Positive,51963,Moderating,True,884-1,52040,884
51960,284,0.05,Positive,51962,Moderating,True,884-1,52040,884
51960,285,0.05,Positive,51963,Moderating,True,884-1,52040,884
51962,286,0.05,Positive,51962,Moderating,True,884-2a,52040,884
51963,287,0.05,Positive,51963,Moderating,True,884-2b,52040,884
51960,288,0.05,Positive,51962,Moderating,True,884-3a,52040,884
51961,289,0.05,Positive,51962,Moderating,True,884-3a,52040,884
51962,290,0.05,Positive,51962,Moderating,True,884-3a,52040,884
51960,291,0.05,Positive,51963,Moderating,True,884-3b,52040,884
51961,292,0.05,Positive,51963,Moderating,True,884-3b,52040,884
51938,293,0.05,has effect,2118,Regular,True,885-1,,885
51938,294,0.05,,2120,Regular,True,885-1,,885
51938,295,0.05,,2121,Regular,True,885-1,,885
51939,296,0.05,Effect,2118,Regular,True,885-1,,885
51939,297,0.05,Effect,2120,Regular,True,885-1,,885
51939,298,0.05,Effect,2121,Regular,True,885-1,,885
51938,299,,Effect,51899,Regular,False,885-2,,885
51939,300,,Effect,51899,Regular,False,885-2,,885
51938,301,,Effect,51898,Regular,False,885-2,,885
51939,302,,Effect,51898,Regular,False,885-2,,885
51938,303,0.01,Positive,51935,Regular,True,885-3,,885
51938,304,0.01,Positive,51937,Regular,True,885-3,,885
51938,305,0.01,Positive,51936,Regular,True,885-3,,885
51939,306,0.01,Positive,51935,Regular,True,885-3,,885
51939,307,0.01,Positive,51937,Regular,True,885-3,,885
51939,308,0.01,Positive,51936,Regular,True,885-3,,885
51934,309,0.001,Effect,51937,Moderating,True,885-4a,51938,885
51934,310,0.001,Effect,51933,Moderating,True,885-4a,51938,885
51934,311,0.001,Effect,51937,Moderating,True,885-4a,51939,885
51934,312,0.001,Effect,51933,Moderating,True,885-4a,51939,885
51934,313,,Effect,51898,Moderating,Partial,885-4b,51938,885
51934,314,,Effect,51899,Moderating,Partial,885-4b,51938,885
51934,315,,Effect,51898,Moderating,Partial,885-4b,51938,885
51934,316,,Effect,51935,Moderating,Partial,885-4b,51938,885
51934,317,,Effect,51936,Moderating,Partial,885-4b,51938,885
51934,318,,Effect,51898,Moderating,Partial,885-4b,51939,885
51934,319,,Effect,51899,Moderating,Partial,885-4b,51939,885
51934,320,,Effect,51898,Moderating,Partial,885-4b,51939,885
51934,321,,Effect,51935,Moderating,Partial,885-4b,51939,885
51934,322,,Effect,51936,Moderating,Partial,885-4b,51939,885
51934,323,,Effect,51933,Moderating,Partial,885-4b,51939,885
2090,324,0.05,Positive,2089,Regular,True,886-1,,886
51957,325,,Positive,2090,Regular,False,886-2a,,886
51959,326,,Positive,2090,Regular,False,886-2a,,886
2091,327,0.05,Positive,2090,Regular,True,886-2b,,886
51955,328,0.05,has effect,2089,Mediating,True,886-3,2090,886
51956,329,0.05,has effect,2089,Mediating,True,886-3,2090,886
51957,330,0.05,has effect,2089,Mediating,True,886-3,2090,886
51958,331,0.05,has effect,2089,Mediating,True,886-3,2090,886
51959,332,0.05,has effect,2089,Mediating,True,886-3,2090,886
2138,333,,Positive,2135,Regular,Partial,887-1,,887
2138,334,,Positive,2136,Regular,Partial,887-1,,887
2138,335,,Has effect,2135,Mediating,Partial,887-2,2139,887
2138,336,,Has effect,2136,Mediating,Partial,887-2,2139,887
2138,337,,Has effect,2135,Mediating,Partial,887-2,52014,887
2138,338,,Has effect,2136,Mediating,Partial,887-2,52014,887
2112,339,0.05,Positive,2110,Moderator,True,888-1,2113,888
2111,340,0.01,Has effect,2116,Mediating,True,890-1,2114,890
2114,341,0.05,Has effect,53550,Mediating,True,890-2,2116,890
2111,342,0.01,Has effect,2126,Mediating,True,890-3,2125,890
2125,343,0.01,Has effect,53550,Mediating,True,890-4,2126,890
2116,344,0.01,Positive,2126,Regular,True,890-5,,890
2160,345,0.01,Negative,2159,Regular,True,891-1a,,891
2160,346,,Positive,2159,Regular,False,891-1b,,891
2161,347,0.001,Positive,2159,Regular,True,891-2a,,891
2160,348,,Has effect,2159,Moderator,False,891-2b,2161,891
2164,349,0.001,Positive,2159,Regular,True,891-3a,,891
2160,350,0.01,Negative,2159,Moderator,True,891-3b,2164,891
2160,351,,Negative,2159,Moderator,False,891-4,2165,891
52438,352,0.001,Has effect,52442,Moderator,True,892-1a,52440,892
52438,353,0.001,Has effect,52442,Moderator,True,892-1b,52440,892
52438,354,0.001,Has effect,52442,Moderator,True,892-1b,52439,892
52445,355,0.05,Has effect,52443,Moderator,True,892-1a,52440,892
52445,356,0.05,Has effect,52443,Moderator,True,892-1b,52440,892
52445,357,0.05,Has effect,52443,Moderator,True,892-1b,52439,892
2129,358,0.05,Positive,2131,Regular,True,893-1,,893
2129,359,0.05,Positive,2132,Regular,True,893-1,,893
2129,360,0.05,Positive,2133,Regular,True,893-1,,893
2130,361,0.001,Positive,2131,Regular,True,893-2,,893
2130,362,0.001,Positive,2132,Regular,True,893-2,,893
2130,363,0.001,Positive,2133,Regular,True,893-2,,893
2128,364,0.01,Positive,2131,Regular,True,893-3,,893
2128,365,0.01,Positive,2132,Regular,True,893-3,,893
2128,366,0.01,Positive,2133,Regular,True,893-3,,893
2131,367,0.01,Positive,52158,Regular,True,893-4,,893
2132,368,0.01,Positive,52158,Regular,True,893-4,,893
2133,369,0.01,Positive,52158,Regular,True,893-4,,893
52158,370,0.01,Has effect,2129,Mediating,True,893-5,2131,893
52158,371,0.01,Has effect,2130,Mediating,True,893-5,2131,893
52158,372,0.01,Has effect,2128,Mediating,True,893-5,2131,893
52158,373,0.01,Has effect,2129,Mediating,True,893-5,2132,893
52158,374,0.01,Has effect,2130,Mediating,True,893-5,2132,893
52158,375,0.01,Has effect,2128,Mediating,True,893-5,2132,893
52158,376,0.01,Has effect,2129,Mediating,True,893-5,2133,893
52158,377,0.01,Has effect,2130,Mediating,True,893-5,2133,893
52158,378,0.01,Has effect,2128,Mediating,True,893-5,2133,893
52336,379,,Has effect,2166,Regular,False,1004-1,,1004
52336,380,0.01,Has effect,52330,Regular,True,1004-1,,1004
2162,381,0.01,Positive,52330,Regular,True,1004-2,,1004
52332,382,0.01,Negative,52329,Regular,True,1004-3a,,1004
52332,383,0.01,Negative,2163,Regular,True,1004-3a,,1004
52331,384,0.01,Negative,52329,Regular,True,1004-3a,,1004
52331,385,0.01,Negative,2163,Regular,True,1004-3a,,1004
52332,386,0.01,Positive,2167,Regular,True,1004-3b,,1004
52331,387,0.01,Positive,2167,Regular,True,1004-3b,,1004
52332,388,0.01,Positive,2168,Regular,True,1004-3b,,1004
52331,389,0.01,Positive,2168,Regular,True,1004-3b,,1004
52334,390,0.01,Has effect,52329,Moderating,True,1004-4a,2162,1004
52334,391,0.01,Has effect,2163,Moderating,True,1004-4a,2162,1004
52334,392,,Has effect,2168,Moderating,False,1004-4b,2162,1004
52334,393,,Has effect,2167,Moderating,False,1004-4b,2162,1004
2140,394,0.01,Has effect,2148,Moderating,True,1005-1a,2146,1005
2140,395,0.05,Has effect,2150,Moderating,True,1005-1a,2146,1005
2140,396,0.01,Has effect,2148,Moderating,True,1005-1a,2147,1005
2140,397,0.01,Has effect,2150,Moderating,True,1005-1a,2147,1005
2140,398,0.01,Has effect,52344,Moderating,Partial,1005-1b,2146,1005
2140,399,0.01,Has effect,52344,Moderating,Partial,1005-1b,2147,1005
2140,400,0.01,Has effect,52344,Moderating,Partial,1005-1b,2148,1005
2140,401,0.01,Has effect,52344,Moderating,Partial,1005-1b,2150,1005
2140,402,0.01,Has effect,2148,Regular,True,1005-2,,1005
2146,403,0.05,Has effect,2148,Moderating,True,1005-3,2140,1005
52355,404,0.05,Has effect,2225,Regular,True,1006-1,,1006
52355,405,0.05,Has effect,2231,Regular,True,1006-2,,1006
2231,406,0.01,Positive,2237,Regular,True,1006-3,,1006
2231,407,0.05,Positive,2236,Regular,True,1006-4,,1006
2236,408,0.01,Has effect,2231,Moderating,True,1006-5,2224,1006
52399,409,0.01,Negative,52384,Regular,True,1007-1,,1007
52398,410,,Negative,52384,Regular,False,1007-2,,1007
52392,411,0.001,Positive,52384,Regular,True,1007-3,,1007
52384,412,0.01,Negative,52385,Regular,True,1007-4a,,1007
52384,413,0.001,Negative,52386,Regular,True,1007-4b,,1007
52399,414,,Has effect,52385,Mediating,Partial,1007-5a,52384,1007
52399,415,,Has effect,52386,Mediating,Partial,1007-5b,52384,1007
52398,416,,Has effect,52386,Mediating,Partial,1007-5b,52384,1007
52429,417,0.05,Negative,2156,Regular,True,1008-1a,,1008
52429,418,0.05,Negative,2155,Regular,True,1008-1b,,1008
2152,419,,Positive,2156,Regular,False,1008-2a,,1008
2152,420,,Negative,2155,Regular,False,1008-2b,,1008
2154,421,0.05,Positive,2156,Regular,True,1008-3a,,1008
2154,422,0.05,Positive,2155,Regular,True,1008-3b,,1008
2153,423,,Positive,2156,Regular,False,1008-4a,,1008
2153,424,0.05,Positive,2155,Regular,True,1008-4b,,1008
2153,425,0.05,Has effect,2156,Moderating,True,1008-5a,2158,1008
2153,426,,Has effect,2155,Moderating,False,1008-5b,2158,1008
2181,430,0.01,Negative,2177,Regular,True,1009-2a,,1009
2182,431,0.01,Positive,2177,Regular,True,1009-2b,,1009
2183,432,,No effect,2177,Regular,False,1009-2c,,1009
2178,433,0.05,Negative,2181,Regular,True,1009-3a,,1009
2178,434,,No effect,2182,Regular,False,1009-3b,,1009
2178,435,0.01,Negative,2183,Regular,True,1009-3c,,1009
2179,436,0.01,Positive,2181,Regular,True,1009-4a,,1009
2179,437,,Positive,2182,Regular,False,1009-4b,,1009
2179,438,0.01,Positive,2183,Regular,True,1009-4c,,1009
52452,439,,positive,2171,Moderating,False,1010-1,52454,1010
52452,440,,positive,2172,Moderating,False,1010-1,52454,1010
52452,441,,positive,2174,Moderating,False,1010-1,52454,1010
52452,442,,positive,2180,Moderating,False,1010-1,52454,1010
52459,443,,positive,2184,Moderating,False,1010-1,52456,1010
52459,444,,positive,2185,Moderating,False,1010-1,52456,1010
52459,445,,positive,2186,Moderating,False,1010-1,52456,1010
52459,446,,positive,2180,Moderating,False,1010-1,52456,1010
52453,447,,positive,2171,Moderating,False,1010-1,52454,1010
52453,448,,positive,2172,Moderating,False,1010-1,52454,1010
52453,449,,positive,2174,Moderating,False,1010-1,52454,1010
52453,450,,positive,2180,Moderating,False,1010-1,52454,1010
52460,451,,positive,2171,Moderating,False,1010-1,52456,1010
52460,452,,positive,2185,Moderating,False,1010-1,52456,1010
52460,453,,positive,2186,Moderating,False,1010-1,52456,1010
52460,454,,positive,2180,Moderating,False,1010-1,52456,1010
52451,455,,positive,2171,Moderating,False,1010-1,52454,1010
52451,456,,positive,2172,Moderating,False,1010-1,52454,1010
52451,457,,positive,2174,Moderating,False,1010-1,52454,1010
52451,458,,positive,2180,Moderating,False,1010-1,52454,1010
52458,459,,positive,2171,Moderating,False,1010-1,52456,1010
52458,460,,positive,2185,Moderating,False,1010-1,52456,1010
52458,461,,positive,2186,Moderating,False,1010-1,52456,1010
52458,462,,positive,2180,Moderating,False,1010-1,52456,1010
52452,463,0.05,positive,2171,Moderating,True,1010-2,52455,1010
52452,464,0.05,positive,2172,Moderating,True,1010-2,52455,1010
52452,465,0.05,positive,2174,Moderating,True,1010-2,52455,1010
52452,466,0.05,positive,2180,Moderating,True,1010-2,52455,1010
52459,467,0.05,positive,2184,Moderating,True,1010-2,52457,1010
52459,468,0.05,positive,2185,Moderating,True,1010-2,52457,1010
52459,469,0.05,positive,2186,Moderating,True,1010-2,52457,1010
52459,470,0.05,positive,2180,Moderating,True,1010-2,52457,1010
52453,471,0.05,positive,2171,Moderating,True,1010-2,52455,1010
52453,472,0.05,positive,2172,Moderating,True,1010-2,52455,1010
52453,473,0.05,positive,2174,Moderating,True,1010-2,52455,1010
52453,474,0.05,positive,2180,Moderating,True,1010-2,52455,1010
52460,475,0.05,positive,2184,Moderating,True,1010-2,52457,1010
