SourceId,HypothesisId,Annotation,Text
79,79-2a,"[u'Perceived ease of use', u'behavioral intention', u'women', u'men', u'Perceived ease of use', u'perceived usefulness', u'men', u'women']",Perceived ease of use will influence behavioral intention to use a system more strongly for women than it will influence men.
79,79-2b,"[u'Perceived ease of use', u'perceived usefulness', u'men', u'women', u'Subjective norm ', u'behavioral intention', u'women', u'men']",Perceived ease of use will influence perceived usefulness more strongly for men than it will influence women.
79,79-3,"[u'Subjective norm ', u'behavioral intention', u'women', u'men', u'experience ', u'perceived usefulness', u'behavioral intention', u'men', u'women']",Subjective norm will influence behavioral intention to use a system more strongly for women than it will influence men.
79,79-4,"[u'experience ', u'perceived usefulness', u'behavioral intention', u'men', u'women']","With increasing direct experience with the technology, perceived usefulness will influence behavioral intention to use a system more strongly for men than it will influence women."
79,79-5a,"[u'experience ', u'perceived ease of use', u'behavioral intention', u'women', u'men']","With increasing direct experience with the technology, perceived ease of use will influence behavioral intention to use a system more strongly for women than it will influence men."
79,79-5b,"[u'experience ', u'perceived ease of use', u'perceived usefulness', u'men', u'women']","With increasing direct experience with the technology, perceived ease of use will influence perceived usefulness more strongly for men than it will influence women."
79,79-6,"[u'experience ', u'subjective norm', u'women', u'men', u'Perceived usefulness', u'behavioral intention to use']","With increasing direct experience with the technology, subjective norm will not influence behavioral intention to use a system for either women or men."
81,81-1,"[u'Perceived usefulness', u'behavioral intention to use', u'Perceived ease of use', u'behavioral intention to use', u'Perceived ease of use', u'perceived usefulness']",Perceived usefulness of an information technology has a positive effect on behavioral intention to use the information technology.
81,81-2,"[u'Perceived ease of use', u'behavioral intention to use', u'Perceived ease of use', u'perceived usefulness', u'self-efficacy', u'cognitive absorption', u'perceived ease of use ']",Perceived ease of use of an information technology has a positive effect on behavioral intention to use the information technology.
81,81-3,"[u'Perceived ease of use', u'perceived usefulness', u'self-efficacy', u'cognitive absorption', u'perceived ease of use ']",Perceived ease of use of an information technology has a positive effect on the perceived usefulness of the information technology.
81,81-4,"[u'self-efficacy', u'cognitive absorption', u'perceived ease of use ']","After controlling for self-efficacy perceptions, cognitive absorption with an information  technology has a positive effect on the perceived ease of use of the information technology."
81,81-5,"[u'self-efficacy', u'cognitive absorption', u'perceived usefulness']","After controlling for self-efficacy perceptions, cognitive absorption with an information technology has a positive effect on the perceived usefulness of the information technology."
81,81-6,"[u'Computer playfulness', u'cognitive absorption']",Computer playfulness has a positive effect on cognitive absorption with an information technology.
81,81-7,"[u'Personal innovativeness', u'cognitive absorption']",Personal innovativeness has a positive effect on cognitive absorption with an information technology.
82,82-1,"[u'computer self-efficacy', u'performance-related outcome expectations', u'computer self-efficacy', u'personal outcome expectations', u'computer self-efficacy', u'effect (or liking) for the behavior']","The higher the individual's computer self-efficacy, the higher his/her performance-related outcome expectations."
82,82-2,"[u'computer self-efficacy', u'personal outcome expectations', u'computer self-efficacy', u'effect (or liking) for the behavior', u'computer self-efficacy', u'anxiety']","The higher the individual’s computer self-efficacy, the higher his/her personal outcome expectations."
82,82-3,"[u'computer self-efficacy', u'effect (or liking) for the behavior', u'computer self-efficacy', u'anxiety', u'computer self-efficacy', u'use of computers']","The higher the individual’s computer self-efficacy, the higher his/her effect (or liking) of computer use."
82,82-4,"[u'computer self-efficacy', u'anxiety', u'computer self-efficacy', u'use of computers', u'performance-related outcome expectations', u'effect (or liking) for the behavior']","The higher the individual’s computer self-efficacy, the lower his/her computer anxiety."
82,82-5,"[u'computer self-efficacy', u'use of computers', u'performance-related outcome expectations', u'effect (or liking) for the behavior', u'personal outcome expectations', u'effect (or liking) for the behavior']","The higher the individual’s computer self-efficacy, the higher his/her use of computers."
82,82-6,"[u'performance-related outcome expectations', u'effect (or liking) for the behavior', u'personal outcome expectations', u'effect (or liking) for the behavior', u'performance-related outcome expectations', u'use of computers']","The higher the individual’s performance-related outcome expectations, the higher his/her effect (or liking) for the behavior."
82,82-7,"[u'personal outcome expectations', u'effect (or liking) for the behavior', u'performance-related outcome expectations', u'use of computers', u'personal outcome expectations', u'use of computers']","The higher the individual’s personal outcome expectations, the higher his/her effect (or liking) for the behavior."
82,82-8,"[u'performance-related outcome expectations', u'use of computers', u'personal outcome expectations', u'use of computers', u'effect (or liking) for the behavior', u'use of computers']","The higher the individual’s performance-related outcome expectations, the higher his/her use of computers."
82,82-9,"[u'personal outcome expectations', u'use of computers', u'effect (or liking) for the behavior', u'use of computers', u'anxiety', u'use of computers']","The higher the individual’s personal outcome expectations, the higher his/her use of computers."
82,82-0,"[u'effect (or liking) for the behavior', u'use of computers', u'anxiety', u'use of computers', u'attitude', u' behavioral intention', u'users', u'potential adopters']","The higher the individual’s effect for computer use, the higher his/her use of computers."
82,82-1,"[u'anxiety', u'use of computers', u'attitude', u' behavioral intention', u'users', u'potential adopters']","The higher the individual’s computer anxiety, the lower his/her use of computers."
83,83-1,"[u'attitude', u' behavioral intention', u'users', u'potential adopters', u'behavioral beliefs', u'behavioral beliefs', u'users', u'potential adopters']",The relationship between attitude and behavioral intention will be stronger for users than for potential adopters of an IT.
83,83-2,"[u'behavioral beliefs', u'behavioral beliefs', u'users', u'potential adopters']",There will be more behavioral beliefs underlying attitude for users than for potential adopters of an IT.
83,83-3,"[u' subjective norm', u'behavioral intention', u'potential adopters', u'users', u'Perceived ease of use ', u'game-based training intervention', u'traditional training intervention']",The relationship between subjective norm and behavioral intention will be stronger for potential adopters than for users of an IT.
84,84-1,"[u'Perceived ease of use ', u'game-based training intervention', u'traditional training intervention', u'Perceived usefulness', u'types of training interventions', u'types of training interventions']",Perceived ease of use will be higher among users in the game-based training intervention compared to users in the traditional training intervention.
84,84-2,"[u'Perceived usefulness', u'types of training interventions', u'types of training interventions', u' behavioral intention to use', u'game-based training intervention', u'traditional training intervention']",Perceived usefulness will be equivalent between users in the two different types of training interventions.
84,84-3,"[u' behavioral intention to use', u'game-based training intervention', u'traditional training intervention', u' perceived ease of use', u' behavioral intention to use', u'game-based training intervention', u'traditional training intervention']",The behavioral intention to use will be higher among users in the game-based training intervention compared to users in the traditional training intervention.
84,84-4,"[u' perceived ease of use', u' behavioral intention to use', u'game-based training intervention', u'traditional training intervention', u'perceived ease of use', u'perceived usefulness', u'training interventions', u'training interventions']",The influence of perceived ease of use on behavioral intention to use (EOU-BI) will be higher among users in game-based training when compared to users in traditional training.
84,84-5,"[u'perceived ease of use', u'perceived usefulness', u'training interventions', u'training interventions', u' perceived usefulness', u'behavioral intention to use ', u'training interventions', u'training interventions']",The perceived ease of use-perceived usefulness (EOU-U) relationship will be equivalent across the two types of training interventions.
84,84-6,"[u' perceived usefulness', u'behavioral intention to use ', u'training interventions', u'training interventions', u'behavioral intention to use', u'perceived ease of use ', u'perceived usefulness', u'game-based training intervention', u'traditional training intervention']",There will be no difference in the perceived usefulness-behavioral intention to use (U-BI) relationship across the two types of training interventions.
84,84-7,"[u'behavioral intention to use', u'perceived ease of use ', u'perceived usefulness', u'game-based training intervention', u'traditional training intervention']",The variance in behavioral intention to use explained by perceived ease of use and perceived usefulness will be higher for the group of users in the game-based training  intervention when compared to users in the traditional training intervention.
124,124-1,"[u'perceived enjoyment', u'behavioral intention to use', u'perceived usefulness', u'perceived ease of use ', u'behavioral intention to use', u'perceived usefulness']","For hedonic systems, perceived enjoyment is a stronger predictor of behavioral intention to use than perceived usefulness."
124,124-2,"[u'perceived ease of use ', u'behavioral intention to use', u'perceived usefulness', u'Perceived usefulness', u'intended use']","For hedonic systems, perceived ease of use is a stronger predictor of behavioral intention to use than perceived usefulness."
126,126-1,"[u'Perceived usefulness', u'intended use', u'Perceived ease of use', u'intended use', u'Perceived ease of use', u'perceived usefulness']",Perceived usefulness (PU) will positively effect intended use of a business-to-consumer (B2C) Web site.
126,126-2,"[u'Perceived ease of use', u'intended use', u'Perceived ease of use', u'perceived usefulness', u'Trust', u' intended use ']",Perceived ease of use (PEOU) will positively effect intended use of a business-to-consumer (B2C) Web site.
126,126-3,"[u'Perceived ease of use', u'perceived usefulness', u'Trust', u' intended use ', u'Trust', u'perceived usefulness']",Perceived ease of use (PEOU) will positively effect perceived usefulness (PU) of a business-to-consumer (B2C) Web site.
126,126-4,"[u'Trust', u' intended use ', u'Trust', u'perceived usefulness', u'Familiarity', u'trust']",Trust in the e-vendor will positively effect intended use of a business-to-consumer (B2C) Web site.
126,126-5,"[u'Trust', u'perceived usefulness', u'Familiarity', u'trust', u'Calculative-based beliefs ', u'trust']",Trust will positively effect perceived usefulness (PU).
126,126-6,"[u'Familiarity', u'trust', u'Calculative-based beliefs ', u'trust', u'situational normality', u'trust']",Familiarity with a trustworthy e-vendor will positively effect trust in that e-vendor.
126,126-7,"[u'Calculative-based beliefs ', u'trust', u'situational normality', u'trust', u'structural assurances ', u'trust']",Calculative-based beliefs will positively effect trust in an e-vendor.
126,126-8,"[u'situational normality', u'trust', u'structural assurances ', u'trust', u'Perceived ease of use', u'trust']",Perceptions of situational normality will positively effect trust in an e-vendor.
126,126-9,"[u'structural assurances ', u'trust', u'Perceived ease of use', u'trust', u'Situational normality', u'perceived ease of use']",Perceptions of structural assurances built into a Web site will positively effect trust in an e-vendor.
126,126-0,"[u'Perceived ease of use', u'trust', u'Situational normality', u'perceived ease of use', u'Familiarity with the e-vendor ', u' perceived ease of use ']",Perceived ease of use (PEUO) will positively effect trust in an e-vendor.
126,126-1,"[u'Situational normality', u'perceived ease of use', u'Familiarity with the e-vendor ', u' perceived ease of use ', u'satisfaction with initial information system (IS)', u'continuance intention']",Situational normality will positively effect perceived ease of use (PEOU).
126,126-2,"[u'Familiarity with the e-vendor ', u' perceived ease of use ', u'satisfaction with initial information system (IS)', u'continuance intention', u'confirmation', u'satisfaction with initial information system (IS)']",Familiarity with the e-vendor will positively effect perceived ease of use (PEOU).
137,137-1,"[u'satisfaction with initial information system (IS)', u'continuance intention', u'confirmation', u'satisfaction with initial information system (IS)', u'perceived usefulness ', u'satisfaction with initial information system (IS)']",Users’ level of satisfaction with initial information system (IS) use is positively associated with their information system (IS) continuance intention.
137,137-2,"[u'confirmation', u'satisfaction with initial information system (IS)', u'perceived usefulness ', u'satisfaction with initial information system (IS)', u' ', u'continuance intention', u'perceived usefulness ']",Users’ extent of confirmation is positively associated with their satisfaction with information system (IS) use.
137,137-3,"[u'perceived usefulness ', u'satisfaction with initial information system (IS)', u' ', u'continuance intention', u'perceived usefulness ', u'confirmation', u'perceived usefulness ']",Users’ perceived usefulness of information system (IS) use is positively associated with their satisfaction with information system (IS) use.
137,137-4,"[u'continuance intention', u'perceived usefulness ', u'confirmation', u'perceived usefulness ', u'Perceived usefulness', u' personal computing acceptance']",Users’ information system (IS) continuance intention is positively associated with their perceived usefulness of information system (IS) use.
137,137-5,"[u'confirmation', u'perceived usefulness ', u'Perceived usefulness', u' personal computing acceptance', u'Perceived ease of use', u'perceived usefulness']",Users’ extent of confirmation is positively associated with their perceived usefulness of information system (IS) use.
144,144-1,"[u'Perceived usefulness', u' personal computing acceptance', u'Perceived ease of use', u'perceived usefulness', u'Perceived ease of use', u'personal computing acceptance']",Perceived usefulness has a direct effect on personal computing acceptance.
144,144-2a,"[u'Perceived ease of use', u'perceived usefulness', u'Perceived ease of use', u'personal computing acceptance', u'Internal personal computing support', u'perceived ease of use']",Perceived ease of use has a direct effect on perceived usefulness.
144,144-2b,"[u'Perceived ease of use', u'personal computing acceptance', u'Internal personal computing support', u'perceived ease of use', u'Internal personal computing support', u'perceived usefulness']",Perceived ease of use has a direct effect on personal computing acceptance.
144,144-3a,"[u'Internal personal computing support', u'perceived ease of use', u'Internal personal computing support', u'perceived usefulness', u'Internal personal computing training', u'perceived ease of use']",Internal personal computing support has a direct effect on perceived ease of use.
144,144-3b,"[u'Internal personal computing support', u'perceived usefulness', u'Internal personal computing training', u'perceived ease of use', u'Internal personal computing training', u'perceived usefulness']",Internal personal computing support has a direct effect on perceived usefulness.
144,144-4a,"[u'Internal personal computing training', u'perceived ease of use', u'Internal personal computing training', u'perceived usefulness', u'Management support ', u' perceived ease of use']",Internal personal computing training has a direct effect on perceived ease of use.
144,144-4b,"[u'Internal personal computing training', u'perceived usefulness', u'Management support ', u' perceived ease of use', u'Management support ', u'perceived usefulness']",Internal personal computing training has a direct effect on perceived usefulness.
144,144-5a,"[u'Management support ', u' perceived ease of use', u'Management support ', u'perceived usefulness', u'External computing support', u' perceived ease of use']",Management support has a direct effect on perceived ease of use.
144,144-5b,"[u'Management support ', u'perceived usefulness', u'External computing support', u' perceived ease of use', u'External computing support', u'perceived usefulness']",Management support has a direct effect on perceived usefulness.
144,144-6a,"[u'External computing support', u' perceived ease of use', u'External computing support', u'perceived usefulness', u'External computing training', u' perceived ease of use']",External computing support has a direct effect on perceived ease of use.
144,144-6b,"[u'External computing support', u'perceived usefulness', u'External computing training', u' perceived ease of use', u'External computing training', u'perceived usefulness']",External computing support has a direct effect on perceived usefulness.
144,144-7a,"[u'External computing training', u' perceived ease of use', u'External computing training', u'perceived usefulness', u'Women ', u'social presence of e-mail', u'men']",External computing training has a direct effect on perceived ease of use.
144,144-7b,"[u'External computing training', u'perceived usefulness', u'Women ', u'social presence of e-mail', u'men']",External computing training has a direct effect on perceived usefulness.
146,146-1,"[u'Women ', u'social presence of e-mail', u'men', u'Women ', u'perceived usefulness of e-mail', u'men']",Women will perceive the social presence of e-mail to be higher than will men.
146,146-2,"[u'Women ', u'perceived usefulness of e-mail', u'men', u'Women', u'perceived ease of use of e-mail', u'men']",Women will rate the perceived usefulness of e-mail higher than men will.
146,146-3,"[u'Women', u'perceived ease of use of e-mail', u'men', u'Women', u' use of e-mail', u'men']",Women’s rating of perceived ease of use of e-mail will be higher than men’s.
146,146-4,"[u'Women', u' use of e-mail', u'men', u'social factors concerning personal computer (PC) use', u'utilization of personal computers']",Women’s use of e-mail will be greater than that of men.
173,173-1,"[u'social factors concerning personal computer (PC) use', u'utilization of personal computers', u'effect toward personal computer (PC) use', u'utilization of personal computers', u' perceived complexity of a personal computer', u'utilization of personal computers']",There will be a positive relationship between social factors concerning personal computer (PC) use and the utilization of personal computers (PCs).
173,173-2,"[u'effect toward personal computer (PC) use', u'utilization of personal computers', u' perceived complexity of a personal computer', u'utilization of personal computers', u'perceived job fit', u'utilization of personal computers']",There will be a positive relationship between effect toward personal computer (PC) use and the utilization of personal computers (PCs).
173,173-3,"[u' perceived complexity of a personal computer', u'utilization of personal computers', u'perceived job fit', u'utilization of personal computers', u'long-term consequences of use ', u'utilization of personal computers']",There will be a negative relationship between the perceived complexity of a personal computer (PC) and the utilization of personal computers (PCs).
173,173-4,"[u'perceived job fit', u'utilization of personal computers', u'long-term consequences of use ', u'utilization of personal computers', u'facilitating conditions for personal computer', u'utilization of personal computers']",There will be a positive relationship between perceived job fit and the utilization of personal computers (PCs).
173,173-5,"[u'long-term consequences of use ', u'utilization of personal computers', u'facilitating conditions for personal computer', u'utilization of personal computers', u'Getting product information', u'purchasing a product']",There will be a positive relationship between perceived long-term consequences of use and the utilization of personal computers (PCs).
173,173-6,"[u'facilitating conditions for personal computer', u'utilization of personal computers', u'Getting product information', u'purchasing a product', u'Intentions to purchase a product', u'intentions to get information ']",There will be a positive relationship between facilitating conditions for personal computer (PC) use and the utilization of personal computers (PCs).
6564,6564-1,"[u'Getting product information', u'purchasing a product', u'Intentions to purchase a product', u'intentions to get information ', u'perceived behavioral control over getting information', u' intention toward getting product information', u'actual behavior toward getting product information']",Getting product information from a vendor’s website positively influences purchasing a product from that Web vendor.
6564,6564-2,"[u'Intentions to purchase a product', u'intentions to get information ', u'perceived behavioral control over getting information', u' intention toward getting product information', u'actual behavior toward getting product information']",Intentions to purchase a product from a Web vendor positively influence intentions to get information about the product from the vendor’s website.
6564,6564-3a,"[u'perceived behavioral control over getting information', u' intention toward getting product information', u'actual behavior toward getting product information', u'perceived behavioral control over product purchasing', u'intention  toward product purchasing from the Web vendor', u'actual behavior toward product purchasing from the Web vendor']",PBC (perceived behavioral control) over getting information from a Web vendor positively influences (1) intention  and (2) actual behavior toward getting product information from that Web vendor.
6564,6564-3b,"[u'perceived behavioral control over product purchasing', u'intention  toward product purchasing from the Web vendor', u'actual behavior toward product purchasing from the Web vendor', u'Trusting beliefs in a Web vendor regarding getting information', u' attitude toward getting product information']",PBC (perceived behavioral control) over product purchasing from a Web vendor positively influences (1) intention  and (2) actual behavior toward product purchasing from the Web vendor
6564,6564-4a,"[u'Trusting beliefs in a Web vendor regarding getting information', u' attitude toward getting product information', u'Trusting beliefs in a Web vendor regarding product purchasing', u' attitude toward product purchasing', u'Trusting beliefs in a Web vendor regarding getting information', u'controllability over getting product information ']",Trusting beliefs in a Web vendor regarding getting information positively influence attitude toward getting product information from that Web vendor.
6564,6564-4b,"[u'Trusting beliefs in a Web vendor regarding product purchasing', u' attitude toward product purchasing', u'Trusting beliefs in a Web vendor regarding getting information', u'controllability over getting product information ', u'Trusting beliefs in a Web vendor regarding product purchasing', u'controllability over product purchasing']",Trusting beliefs in a Web vendor regarding product purchasing positively influence attitude toward product purchasing from the Web vendor.
6564,6564-5a,"[u'Trusting beliefs in a Web vendor regarding getting information', u'controllability over getting product information ', u'Trusting beliefs in a Web vendor regarding product purchasing', u'controllability over product purchasing', u'Perceived usefulness of getting information', u' attitude toward getting product information']",Trusting beliefs in a Web vendor regarding getting information positively influence controllability over getting product information from that Web vendor.
6564,6564-5b,"[u'Trusting beliefs in a Web vendor regarding product purchasing', u'controllability over product purchasing', u'Perceived usefulness of getting information', u' attitude toward getting product information', u'Perceived usefulness of product purchasing', u'attitude toward product purchasing']",Trusting beliefs in a Web vendor regarding product purchasing positively influence controllability over product purchasing from that Web vendor.
6564,6564-6a,"[u'Perceived usefulness of getting information', u' attitude toward getting product information', u'Perceived usefulness of product purchasing', u'attitude toward product purchasing', u'Perceived ease of getting information', u' attitude toward getting product information']",Perceived usefulness of getting information positively influences attitude toward getting product information from a Web vendor.
6564,6564-6b,"[u'Perceived usefulness of product purchasing', u'attitude toward product purchasing', u'Perceived ease of getting information', u' attitude toward getting product information', u'Perceived ease of product purchasing', u'attitude toward product purchasing']",Perceived usefulness of product purchasing positively influences attitude toward product purchasing from a Web vendor.
6564,6564-7a,"[u'Perceived ease of getting information', u' attitude toward getting product information', u'Perceived ease of product purchasing', u'attitude toward product purchasing', u'Perceived ease of getting information ', u'self-efficacy over getting product information', u'controllability over getting product information']",Perceived ease of getting information positively influences attitude toward getting product information from a Web vendor.
6564,6564-7b,"[u'Perceived ease of product purchasing', u'attitude toward product purchasing', u'Perceived ease of getting information ', u'self-efficacy over getting product information', u'controllability over getting product information']",Perceived ease of product purchasing positively influences attitude toward product purchasing from a Web vendor.
6564,6564-8a,"[u'Perceived ease of getting information ', u'self-efficacy over getting product information', u'controllability over getting product information', u'Perceived ease of product purchasing', u'self-efficacy  over product purchasing', u'controllability over product purchasing']",Perceived ease of getting information positively influences (1) self-efficacy and (2) controllability over getting product information from that Web vendor.
6564,6564-8b,"[u'Perceived ease of product purchasing', u'self-efficacy  over product purchasing', u'controllability over product purchasing', u'Time resources ', u' controllability over getting product information']",Perceived ease of product purchasing positively influence (1) self-efficacy and (2) controllability over product purchasing from that Web vendor.
6564,6564-9a,"[u'Time resources ', u' controllability over getting product information', u'Monetary resources ', u' controllability over product purchasing', u'Download delay', u' attitude toward getting product information']",Time resources positively influence controllability over getting product information from a Web vendor.
6564,6564-9b,"[u'Monetary resources ', u' controllability over product purchasing', u'Download delay', u' attitude toward getting product information', u'Download delay', u'controllability over product purchasing']",Monetary resources positively influence controllability over product purchasing from a Web vendor.
6564,6564-0a,"[u'Download delay', u' attitude toward getting product information', u'Download delay', u'controllability over product purchasing', u'Website navigability', u'controllability over getting product information']",Download delay negatively influences attitude toward getting product information from a Web vendor.
6564,6564-0b,"[u'Download delay', u'controllability over product purchasing', u'Website navigability', u'controllability over getting product information', u'Information protection', u'controllability over product purchasing']",Download delay negatively influences controllability over product purchasing from a Web vendor.
6564,6564-1,"[u'Website navigability', u'controllability over getting product information', u'Information protection', u'controllability over product purchasing', u'Perceived diagnosticity', u' controllability over product  purchasing ']",Website navigability positively influences controllability over getting product information from a Web vendor.
6564,6564-2,"[u'Information protection', u'controllability over product purchasing', u'Perceived diagnosticity', u' controllability over product  purchasing ', u'Product value ', u'attitude toward product purchasing']",Information protection positively influences controllability over product purchasing from a Web vendor.
6564,6564-3,"[u'Perceived diagnosticity', u' controllability over product  purchasing ', u'Product value ', u'attitude toward product purchasing', u'Getting information skills', u' self-efficacy over getting information']",Perceived diagnosticity positively influences controllability over product  purchasing from a Web vendor.
6564,6564-4,"[u'Product value ', u'attitude toward product purchasing', u'Getting information skills', u' self-efficacy over getting information', u'Purchasing skills ', u'self-efficacy over product purchasing']",Product value positively influences attitude toward product purchasing from a Web vendor.
6564,6564-5a,"[u'Getting information skills', u' self-efficacy over getting information', u'Purchasing skills ', u'self-efficacy over product purchasing', u'Quantitative overload', u'trying to innovate with IT']",Getting information skills positively influence self-efficacy over getting information from a Web vendor.
6564,6564-5b,"[u'Purchasing skills ', u'self-efficacy over product purchasing', u'Quantitative overload', u'trying to innovate with IT', u'Qualtitative overload', u'trying to innovate with IT']",Purchasing skills positively influence self-efficacy over product purchasing from a Web vendor.
12085,12085-1a,"[u'Quantitative overload', u'trying to innovate with IT', u'Qualtitative overload', u'trying to innovate with IT', u'Perceived autonomy', u'trying to innovate with IT']",Quantitative overload negatively influences trying to innovate with IT.
12085,12085-1b,"[u'Qualtitative overload', u'trying to innovate with IT', u'Perceived autonomy', u'trying to innovate with IT', u'autonomy', u'trying to innovate with IT', u'men', u'women']",Qualitative overload negatively influences trying to innovate with IT.
12085,12085-2,"[u'Perceived autonomy', u'trying to innovate with IT', u'autonomy', u'trying to innovate with IT', u'men', u'women']",Perceived autonomy positively influences trying to innovate with IT.
12085,12085-3,"[u'autonomy', u'trying to innovate with IT', u'men', u'women', u'overload', u'trying to innovate with IT ', u'women', u'men']","The relationship between autonomy and the trying to innovate with IT will be stronger in
men than in women."
12085,12085-4,"[u'overload', u'trying to innovate with IT ', u'women', u'men']","The relationship between overload and trying to innovate with IT will be stronger in women
than in men."
12085,12085-5a,"[u'Autonomy ', u'quantitative\noverload', u'trying to innovate with IT ', u'Autonomy ', u' qualitative overload', u'trying to innovate with IT ']","Autonomy interacts with quantitative
overload to positively influence individual's
trying to innovate with IT."
12085,12085-6a,"[u'Autonomy ', u' qualitative overload', u'trying to innovate with IT ', u'Organizational Practices', u'information-sharing practices ', u'lagged firm-level financial performance', u'financial performance data']","Autonomy interacts with qualitative overload
to positively influence individual's
trying to innovate with IT."
879,879-1,"[u'Organizational Practices', u'information-sharing practices ', u'lagged firm-level financial performance', u'financial performance data']","The percentage of employees involved in information-sharing practices is positively related to lagged firm-level financial performance, after controlling for the prior year’s financial performance data."
879,879-2,"[u'Organizational Practices', u'boundary-setting practices', u'firm-level customer service', u'Organizational Practices', u'team-enabling practices', u'firm-level quality of goods and services']",The percentage of employees involved in boundary-setting practices is positively related to firm-level customer service.
879,879-3,"[u'Organizational Practices', u'team-enabling practices', u'firm-level quality of goods and services', u'increased work hours', u'negative mood', u'negative effect', u'NA', u'negative health behaviors', u'drinking', u'smoking', u'sedentary  behaviors', u'PA', u'positive health behaviors', u'exercise', u'healthy eating', u'healthy eating', u'PA']",The percentage of employees involved in team-enabling practices is positively related to firm-level quality of goods and services.
881,881-1,"[u'increased work hours', u'negative mood', u'negative effect', u'NA', u'negative health behaviors', u'drinking', u'smoking', u'sedentary  behaviors', u'PA', u'positive health behaviors', u'exercise', u'healthy eating', u'healthy eating', u'PA', u'alcohol consumption']","Within subjects, increased work hours and negative mood (negative effect (NA)) will be associated with increased negative health behaviors (e.g., drinking, smoking, sedentary  behaviors), while PA will be linked with increased positive health behaviors (e.g., exercise, healthy eating), and, consistent with previous literature, PA will be associated with increased alcohol consumption."
881,881-2,"[u'levels of demand', u'levels of control', u'support', u'health behaviors']","Between subjects, high levels of demand and low levels of control and support will be associated with poorer health behaviors."
881,881-3,"[u'work hours', u'moods', u'health behaviors', u' levels of demands', u' control', u'support', u' high-demand', u'low-demand jobs', u' low-control', u'high-control jobs', u' low-support', u'high-support jobs']","The association between work hours, moods, and health behaviors will be moderated by levels of demands, control, and/or support. In particular, the impact will be greater in high-demand rather than low-demand jobs, low-control rather than high-control jobs, and low-support rather than high-support jobs."
881,881-4,"[u'sex', u' women']","The above effects will vary as a function of sex, with greater effects predicted for women."
882,882-1,"[u'The Interview Faking Behavior', u'IFB', u'Social Desirability Responding', u'SDR', u'Impression Management', u'IM']",The Interview Faking Behavior (IFB) scale would be moderately correlated with measures of Social Desirability Responding (SDR) and Impression Management (IM).
882,882-2,"[u'think that others are untruthful', u'faking during the employment interview', u'value honesty', u' engage less in faking', u'High-self-monitoring ', u'faking during the employment interview']","People who think that others are untruthful will engage more in faking during the employment interview, but people who value honesty will engage less in faking."
882,882-3,"[u'High-self-monitoring ', u'faking during the employment interview', u'Machiavellianism', u'Interview Faking Behavior', u'IFB']",High-self-monitoring people will engage more often in faking during the employment interview.
882,882-4,"[u'Machiavellianism', u'Interview Faking Behavior', u'IFB', u'gender', u'Interview Faking Behavior', u'IFB']",Scores on the Machiavellianism scale can be expected to correlate with scores on the Interview Faking Behavior (IFB) scale.
882,882-5,"[u'gender', u'Interview Faking Behavior', u'IFB', u'ethnicity', u'Interview Faking Behavior', u'IFB']",Negligible correlations between gender and the Interview Faking Behavior (IFB).
882,882-6,"[u'ethnicity', u'Interview Faking Behavior', u'IFB', u'GPA', u'Interview Faking Behavior', u'IFB']",No relationship between ethnicity and the Interview Faking Behavior (IFB).
