,75,,,,,,,,,women,experience,,,,,,110,Behavioral intention to use the system,behavioral intention,Moderator,104,49180,110,TRUE,0.05,Has effect,,
,75,,,,,,,,,,,,,,,,49179,Gender,gender,Moderator,104,49181,110,TRUE,0.05,Has effect,,
,75,,,,,,,,,,,,,,,,49180,Age,age,,,,,,,,,
,75,,,,,,,,,,,,,,,,49181,Experience,experience,,,,,,,,,
,75,,,,,,,,,,,,,,,,49179,Gender,women,,,,,,,,,
,75,,,,,,,,,,,,,,,,49180,Age,younger,,,,,,,,,
,75,,,,,,,,,,,,,,,,49179,Gender,women,,,,,,,,,
,75,,,,,,,,,,,,,,,,49181,Experience,experience,,,,,,,,,
,75,,,,,,,H3,"The influence of social influence on behavioral intention will be moderated by gender, age, voluntariness, and experience, such that the effect will be stronger for women, particularly older women, particularly in mandatory settings in the early stages of experience.",social influence,behavioral intention ,gender,age,voluntariness,experience,women,106,Social influence,social influence,Moderator,106,49179,110,TRUE,0.05,Has effect,,
,75,,,,,,,,,older,women,mandatory settings,experience,,,,110,Behavioral intention to use the system,behavioral intention ,Moderator,106,49180,110,TRUE,0.05,Has effect,,
,75,,,,,,,,,,,,,,,,49179,Gender,gender,Moderator,106,49185,110,TRUE,0.05,Has effect,,
,75,,,,,,,,,,,,,,,,49180,Age,age,Moderator,106,49181,110,TRUE,0.05,Has effect,,
,75,,,,,,,,,,,,,,,,49185,Voluntariness of use,voluntariness,,,,,,,,,
,75,,,,,,,,,,,,,,,,49181,Experience,experience,,,,,,,,,
,75,,,,,,,,,,,,,,,,49179,Gender,women,,,,,,,,,
,75,,,,,,,,,,,,,,,,49180,Age,older,,,,,,,,,
,75,,,,,,,,,,,,,,,,49179,Gender,women,,,,,,,,,
,75,,,,,,,,,,,,,,,,49185,Voluntariness of use,mandatory settings,,,,,,,,,
,75,,,,,,,,,,,,,,,,49181,Experience,experience,,,,,,,,,
,75,,,,,,,,,,,,,,,,,,,,,,,,,,,
,75,,,,,,,H4a,Facilitating conditions will not have a significant influence on behavioral intention.,Facilitating conditions,behavioral intention,,,,,,107,Facilitating conditions,Facilitating conditions,Regular,107,,110,TRUE,0.05,Has no effect,,
,75,,,,,,,,,,,,,,,,110,Behavioral intention to use the system,behavioral intention,,,,,,,,,
,75,,,,,,,,,,,,,,,,,,,,,,,,,,,
,75,,,,,,,H4b,"The influence of facilitating conditions on usage will be moderated by age and experience, such that the effect will be stronger for older workers, particularly with increasing experience.",facilitating conditions ,usage,age,experience,older,experience,,107,Facilitating conditions,facilitating conditions ,Moderator,107,49180,49188,TRUE,0.05,Has effect,,
,75,,,,,,,,,,,,,,,,49188,Actual usage behavior,usage,Moderator,107,49181,49188,TRUE,0.05,Has effect,,
,75,,,,,,,,,,,,,,,,49180,Age,age,,,,,,,,,
,75,,,,,,,,,,,,,,,,49181,Experience,experience,,,,,,,,,
,75,,,,,,,,,,,,,,,,49180,Age,older,,,,,,,,,
,75,,,,,,,,,,,,,,,,49181,Experience,experience,,,,,,,,,
,75,,,,,,,H5a,Computer self-efficacy will not have a significant influence on behavioral intention.,Computer self-efficacy,behavioral intention,,,,,,108,Self-efficacy,Computer self-efficacy,Regular,108,,110,TRUE,0.05,Has no effect,,
,,,,,,,,,,,,,,,,,110,Behavioral intention to use the system,behavioral intention,,,,,,,,,
,75,,,,,,,H5b,Compute anxiety will not have a significant influence on behavioral intention.,Computer anxiety,behavioral intention,,,,,,109,Anxiety,Computer anxiety,Regular,109,,110,TRUE,0.05,Has no effect,,
,,,,,,,,,,,,,,,,,110,Behavioral intention to use the system,behavioral intention,,,,,,,,,
,75,,,,,,,H5c,Attitude toward using technology will not have a significant influence on behavioral intention.,Attitude toward using technology,behavioral intention,,,,,,105,Attitude toward using technology,Attitude toward using technology,Regular,105,,110,TRUE,0.05,Has no effect,,
,75,,,,,,,,,,,,,,,,110,Behavioral intention to use the system,behavioral intention,,,,,,,,,
,75,,,,,,,,,,,,,,,,,,,,,,,,,,,
,75,,,,,,,,,,,,,,,,,,,,,,,,,,,
,75,,,,,,,H6,Behavioral intention will have a significant positive influence on usage.,Behavioral intention ,usage,,,,,,110,Behavioral intention to use the system,Behavioral intention ,Regular,110,,49188,TRUE,0.05,Positive,,
,75,,,,,,,,,,,,,,,,49188,Actual usage behavior,usage,,,,,,,,,
,77,,no hypos,,,,,,,,,,,,,,,,,,,,,,,,,
,79,,,n/a,Lauren,,,H1,Perceived usefulness will influence behavioral intention to use a system more strongly for men than it will influence women.,Perceived usefulness,behavioral intention,men,women,,,,118,Perceived usefulness,Perceived usefulness,1,118,121,117,1,1.00E-03,Positive,,
,,,,,,,,,,,,,,,,,117,Intention to Use,behavioral intention,,,,,,,,,
,,,,,,,,,,,,,,,,,121,Gender,men,,,,,,,,,
,,,,,,,,,,,,,,,,,121,Gender,women,,,,,,,,,
,79,,,,,,,H2a,Perceived ease of use will influence behavioral intention to use a system more strongly for women than it will influence men.,Perceived ease of use,behavioral intention,women,men,,,,119,Perceived ease of use,Perceived ease of use,1,119,121,117,1,0.01,Positive,,
,,,,,,,,,,,,,,,,,117,Intention to Use,behavioral intention,,,,,,,,,
,,,,,,,,,,,,,,,,,121,Gender,women,,,,,,,,,
,,,,,,,,,,,,,,,,,121,Gender,men,,,,,,,,,
,79,,,,,,,H2b,Perceived ease of use will influence perceived usefulness more strongly for men than it will influence women.,Perceived ease of use,perceived usefulness,men,women,,,,119,Perceived ease of use,Perceived ease of use,1,119,121,118,0,NULL,Positive,,
,,,,,,,,,,,,,,,,,118,Perceived usefulness,perceived usefulness,,,,,,,,,
,,,,,,,,,,,,,,,,,121,Gender,men,,,,,,,,,
,,,,,,,,,,,,,,,,,121,Gender,women,,,,,,,,,
,79,,,,,,,H3,Subjective norm will influence behavioral intention to use a system more strongly for women than it will influence men.,Subjective norm ,behavioral intention,women,men,,,,120,Subjective norm,Subjective norm ,1,120,121,117,1,0.05,Positive,,
,,,,,,,,,,,,,,,,,117,Intention to Use,behavioral intention,,,,,,,,,
,,,,,,,,,,,,,,,,,121,Gender,women,,,,,,,,,
,,,,,,,,,,,,,,,,,121,Gender,men,,,,,,,,,
,79,,,,,,,H4,"With increasing direct experience with the technology, perceived usefulness will influence behavioral intention to use a system more strongly for men than it will influence women.",experience ,perceived usefulness,behavioral intention,men,women,,,125,Prior computer experience,experience ,1,118,125,117,1,1.00E-03,Positive,,
,,,,,,,,,,,,,,,,,118,Perceived usefulness,perceived usefulness,1,118,121,117,1,1.00E-03,Positive,,
,,,,,,,,,,,,,,,,,117,Intention to Use,behavioral intention,,,,,,,,,
,,,,,,,,,,,,,,,,,121,Gender,men,,,,,,,,,
,,,,,,,,,,,,,,,,,121,Gender,women,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,79,,,,,,,H5a,"With increasing direct experience with the technology, perceived ease of use will influence behavioral intention to use a system more strongly for women than it will influence men.",experience ,perceived ease of use,behavioral intention,women,men,,,125,Prior computer experience,experience ,1,119,121,117,1,0.01,Positive,,
,,,,,,,,,,,,,,,,,119,Perceived ease of use,perceived ease of use,1,119,125,117,1,0.01,Positive,,
,,,,,,,,,,,,,,,,,117,Intention to Use,behavioral intention,,,,,,,,,
,,,,,,,,,,,,,,,,,121,Gender,women,,,,,,,,,
,,,,,,,,,,,,,,,,,121,Gender,men,,,,,,,,,
,79,,,,,,,,,,,,,,,,,,,,,,,,,,,
,79,,,,,,,H5b,"With increasing direct experience with the technology, perceived ease of use will influence perceived usefulness more strongly for men than it will influence women.",experience ,perceived ease of use,perceived usefulness,men,women,,,125,Prior computer experience,experience ,1,119,121,118,0,NULL,Positive,,
,79,,,,,,,,,,,,,,,,119,Perceived ease of use,perceived ease of use,1,119,125,118,0,NULL,Positive,,
,,,,,,,,,,,,,,,,,118,Perceived usefulness,perceived usefulness,,,,,,,,,
,,,,,,,,,,,,,,,,,121,Gender,men,,,,,,,,,
,,,,,,,,,,,,,,,,,121,Gender,women,,,,,,,,,
,79,,,,,,,H6,"With increasing direct experience with the technology, subjective norm will not influence behavioral intention to use a system for either women or men.",experience ,subjective norm,women,men,,,,125,Prior computer experience,experience ,1,120,121,117,1,0.01,No effect,,
,79,,,,,,,,,,,,,,,,120,Subjective norm,subjective norm,1,120,125,117,1,0.01,No effect,,
,,,,,,,,,,,,,,,,,121,Gender,women,,,,,,,,,
,,,,,,,,,,,,,,,,,121,Gender,men,,,,,,,,,
,81,,,n/a,Lauren,Jocelyn,,H1,Perceived usefulness of an information technology has a positive effect on behavioral intention to use the information technology.,Perceived usefulness,behavioral intention to use,,,,,,136,Perceived usefulness,Perceived usefulness,Regular,136,,139,True,1.00E-03,Positive,,
,,,,,,,,,,,,,,,,,139,Behavioral intention to use,behavioral intention to use,,,,,,,,,
,81,,,,,,,H2,Perceived ease of use of an information technology has a positive effect on behavioral intention to use the information technology.,Perceived ease of use,behavioral intention to use,,,,,,135,Perceived ease of use,Perceived ease of use,Regular,135,,139,True,1.00E-03,Positive,,
,,,,,,,,,,,,,,,,,139,Behavioral intention to use,behavioral intention to use,,,,,,,,,
,81,,,,,,,H3,Perceived ease of use of an information technology has a positive effect on the perceived usefulness of the information technology.,Perceived ease of use,perceived usefulness,,,,,,135,Perceived ease of use,Perceived ease of use,Regular,135,,136,FALSE,,Positive,,
,,,,,,,,,,,,,,,,,136,Perceived usefulness,perceived usefulness,,,,,,,,,
,81,,,,,,,H4,"After controlling for self-efficacy perceptions, cognitive absorption with an information  technology has a positive effect on the perceived ease of use of the information technology.",self-efficacy,cognitive absorption,perceived ease of use ,,,,,140,Self efficacy,self-efficacy,Moderating,130,140,135,True,0.01,Positive,,
,81,,,,,,,,,,,,,,,,130,Temporal dissociation,cognitive absorption,Moderating,131,140,135,True,0.01,Positive,,
,81,,,,,,,,,,,,,,,,131,Focused immersion,cognitive absorption,Moderating,132,140,135,True,0.01,Positive,,
,81,,,,,,,,,,,,,,,,132,Heightened enjoyment,cognitive absorption,Moderating,133,140,135,True,0.01,Positive,,
,81,,,,,,,,,,,,,,,,133,Control,cognitive absorption,Moderating,134,140,135,True,0.01,Positive,,
,,,,,,,,,,,,,,,,,134,Curiosity,cognitive absorption,,,,,,,,,
,,,,,,,,,,,,,,,,,135,Perceived ease of use,perceived ease of use ,,,,,,,,,
,81,,,,,,,H5,"After controlling for self-efficacy perceptions, cognitive absorption with an information technology has a positive effect on the perceived usefulness of the information technology.",self-efficacy,cognitive absorption,perceived usefulness,,,,,140,Self efficacy,self-efficacy,Moderating,130,140,136,True,1.00E-03,Positive,,
,81,,,,,,,,,,,,,,,,130,Temporal dissociation,cognitive absorption,Moderating,131,140,136,True,1.00E-03,Positive,,
,81,,,,,,,,,,,,,,,,131,Focused immersion,cognitive absorption,Moderating,132,140,136,True,1.00E-03,Positive,,
,81,,,,,,,,,,,,,,,,132,Heightened enjoyment,cognitive absorption,Moderating,133,140,136,True,1.00E-03,Positive,,
,81,,,,,,,,,,,,,,,,133,Control,cognitive absorption,Moderating,134,140,136,True,1.00E-03,Positive,,
,,,,,,,,,,,,,,,,,134,Curiosity,cognitive absorption,,,,,,,,,
,,,,,,,,,,,,,,,,,136,Perceived usefulness,perceived usefulness,,,,,,,,,
,81,,,,,,,H6,Computer playfulness has a positive effect on cognitive absorption with an information technology.,Computer playfulness,cognitive absorption,,,,,,138,Playfulness,Computer playfulness,Regular,138,,130,True,1.00E-03,Positive,,
,81,,,,,,,,,,,,,,,,130,Temporal dissociation,cognitive absorption,Regular,138,,131,True,1.00E-03,Positive,,
,81,,,,,,,,,,,,,,,,131,Focused immersion,cognitive absorption,Regular,138,,132,True,1.00E-03,Positive,,
,81,,,,,,,,,,,,,,,,132,Heightened enjoyment,cognitive absorption,Regular,138,,133,True,1.00E-03,Positive,,
,81,,,,,,,,,,,,,,,,133,Control,cognitive absorption,Regular,138,,134,True,1.00E-03,Positive,,
,,,,,,,,,,,,,,,,,134,Curiosity,cognitive absorption,,,,,,,,,
,81,,,,,,,H7,Personal innovativeness has a positive effect on cognitive absorption with an information technology.,Personal innovativeness,cognitive absorption,,,,,,137,Personal innovativeness in information technology ,Personal innovativeness,Regular,137,,130,True,0.01,Positive,,
,81,,,,,,,,,,,,,,,,130,Temporal dissociation,cognitive absorption,Regular,137,,131,True,0.01,Positive,,
,81,,,,,,,,,,,,,,,,131,Focused immersion,cognitive absorption,Regular,137,,132,True,0.01,Positive,,
,81,,,,,,,,,,,,,,,,132,Heightened enjoyment,cognitive absorption,Regular,137,,133,True,0.01,Positive,,
,81,,,,,,,,,,,,,,,,133,Control,cognitive absorption,Regular,137,,134,True,0.01,Positive,,
,,,,,,,,,,,,,,,,,134,Curiosity,cognitive absorption,,,,,,,,,
,82,,,n/a,Lauren,,,1,"The higher the individual's computer self-efficacy, the higher his/her performance-related outcome expectations.",computer self-efficacy,performance-related outcome expectations,,,,,,162,Computer self-efficacy,computer self-efficacy,0,162,NULL,169,1,1.00E-03,Positive,,
,,,,,,,,,,,,,,,,,169,Performance,performance-related outcome expectations,,,,,,,,,
,82,,,,,,,2,"The higher the individual’s computer self-efficacy, the higher his/her personal outcome expectations.",computer self-efficacy,personal outcome expectations,,,,,,162,Computer self-efficacy,computer self-efficacy,0,162,NULL,170,1,1.00E-03,Positive,,
,,,,,,,,,,,,,,,,,170,Personal,personal outcome expectations,,,,,,,,,
,82,,,,,,,3,"The higher the individual’s computer self-efficacy, the higher his/her effect (or liking) of computer use.",computer self-efficacy,effect (or liking) for the behavior,,,,,,162,Computer self-efficacy,computer self-efficacy,0,162,NULL,171,1,1.00E-03,Positive,,
,,,,,,,,,,,,,,,,,171,Affect,effect (or liking) for the behavior,,,,,,,,,
,82,,,,,,,4,"The higher the individual’s computer self-efficacy, the lower his/her computer anxiety.",computer self-efficacy,anxiety,,,,,,162,Computer self-efficacy,computer self-efficacy,0,162,NULL,172,1,1.00E-03,Negative,,
,,,,,,,,,,,,,,,,,172,Anxiety,anxiety,,,,,,,,,
,82,,,,,,,5,"The higher the individual’s computer self-efficacy, the higher his/her use of computers.",computer self-efficacy,use of computers,,,,,,162,Computer self-efficacy,computer self-efficacy,0,162,NULL,173,1,1.00E-03,Positive,,
,,,,,,,,,,,,,,,,,173,Use,use of computers,,,,,,,,,
,82,,,,,,,6,"The higher the individual’s performance-related outcome expectations, the higher his/her effect (or liking) for the behavior.",performance-related outcome expectations,effect (or liking) for the behavior,,,,,,169,Performance,performance-related outcome expectations,0,169,NULL,171,1,1.00E-03,Positive,,
,,,,,,,,,,,,,,,,,171,Affect,effect (or liking) for the behavior,,,,,,,,,
,82,,,,,,,7,"The higher the individual’s personal outcome expectations, the higher his/her effect (or liking) for the behavior.",personal outcome expectations,effect (or liking) for the behavior,,,,,,170,Personal,personal outcome expectations,0,170,NULL,171,0,NULL,Positive,,
,,,,,,,,,,,,,,,,,171,Affect,effect (or liking) for the behavior,,,,,,,,,
,82,,,,,,,8,"The higher the individual’s performance-related outcome expectations, the higher his/her use of computers.",performance-related outcome expectations,use of computers,,,,,,169,Performance,performance-related outcome expectations,0,169,NULL,173,1,1.00E-03,Positive,,
,,,,,,,,,,,,,,,,,173,Use,use of computers,,,,,,,,,
,82,,,,,,,9,"The higher the individual’s personal outcome expectations, the higher his/her use of computers.",personal outcome expectations,use of computers,,,,,,170,Personal,personal outcome expectations,0,170,NULL,173,1,0.05,Positive,,
,,,,,,,,,,,,,,,,,173,Use,use of computers,,,,,,,,,
,82,,,,,,,10,"The higher the individual’s effect for computer use, the higher his/her use of computers.",effect (or liking) for the behavior,use of computers,,,,,,171,Affect,effect (or liking) for the behavior,0,171,NULL,173,1,1.00E-03,Positive,,
,,,,,,,,,,,,,,,,,173,Use,use of computers,,,,,,,,,
,82,,,,,,,11,"The higher the individual’s computer anxiety, the lower his/her use of computers.",anxiety,use of computers,,,,,,172,Anxiety,anxiety,0,172,NULL,173,0,NULL,Negative,,
,,,,,,,,,,,,,,,,,173,Use,use of computers,,,,,,,,,
,83,,,,Jocelyn,,,H1.,The relationship between attitude and behavioral intention will be stronger for users than for potential adopters of an IT.,attitude, behavioral intention,users,potential adopters,,,,154,Attitude,attitude,1,154,51879,158,1,0.05,Positive,,
,,,,,,,,,,,,,,,,,158,Behavioral intention, behavioral intention,,,,,,,,,
,,,,,,,,,,,,,,,,,51879,User or potential adopter,users,,,,,,,,,
,,,,,,,,,,,,,,,,,51879,User or potential adopter,potential adopters,,,,,,,,,
,83,,,,,,,H2.,There will be more behavioral beliefs underlying attitude for users than for potential adopters of an IT.,behavioral beliefs,behavioral beliefs,users,potential adopters,,,,148,Trialability,behavioral beliefs,1,148,51879,154,0,NULL,Positive,,
,83,,,,,,,,,,,,,,,,151,Result demonstrability,behavioral beliefs,1,151,51879,154,0,NULL,Positive,,
,83,,,,,,,,,,,,,,,,153,Visibility,behavioral beliefs,1,153,51879,154,0,NULL,Positive,,
,83,,,,,,,,,,,,,,,,149,Ease of use,behavioral beliefs,1,149,51879,154,0,NULL,Positive,,
,83,,,,,,,,,,,,,,,,150,Compatibility,behavioral beliefs,1,150,51879,154,0,NULL,Positive,,
,83,,,,,,,,,,,,,,,,152,Image,behavioral beliefs,1,152,51879,154,0,NULL,Positive,,
,83,,,,,,,,,,,,,,,,147,Relative advantage,behavioral beliefs,1,147,51879,154,0,NULL,Positive,,
,,,,,,,,,,,,,,,,,51879,User or potential adopter,users,,,,,,,,,
,,,,,,,,,,,,,,,,,51879,User or potential adopter,potential adopters,,,,,,,,,
,83,,,,,,,H3.,The relationship between subjective norm and behavioral intention will be stronger for potential adopters than for users of an IT., subjective norm,behavioral intention,potential adopters,users,,,,156,Subjective norm, subjective norm,1,156,51879,158,1,0.05,Positive,,
,,,,,,,,,,,,,,,,,158,Behavioral intention ,behavioral intention,,,,,,,,,
,,,,,,,,,,,,,,,,,51879,User or potential adopter,potential adopters,,,,,,,,,
,,,,,,,,,,,,,,,,,51879,User or potential adopter,users,,,,,,,,,
,84,,,,,,,H1,Perceived ease of use will be higher among users in the game-based training intervention compared to users in the traditional training intervention.,Perceived ease of use ,game-based training intervention,traditional training intervention,,,,,160,Perceived ease of use,Perceived ease of use ,0,45923,NULL,160,1,0.05,Positive,,
,84,,,,,,,,,,,,,,,,52096,Game-based training,game-based training intervention,0,52096,NULL,160,1,0.05,Positive,,
,,,,,,,,,,,,,,,,,45923,Traditional lecture-based training,traditional training intervention,,,,,,,,,
,84,,,,,,,H2,Perceived usefulness will be equivalent between users in the two different types of training interventions.,Perceived usefulness,types of training interventions,types of training interventions,,,,,159,Perceived usefulness,Perceived usefulness,0,52096,NULL,159,0,NULL,No effect,,
,84,,,,,,,,,,,,,,,,52096,Game-based training,types of training interventions,0,45923,NULL,159,0,NULL,No effect,,
,,,,,,,,,,,,,,,,,45923,Traditional lecture-based training,types of training interventions,,,,,,,,,
,84,,,,,,,H3,The behavioral intention to use will be higher among users in the game-based training intervention compared to users in the traditional training intervention., behavioral intention to use,game-based training intervention,traditional training intervention,,,,,161,Behavioral intention to use, behavioral intention to use,0,52096,NULL,161,1,0.05,Positive,,
,84,,,,,,,,,,,,,,,,52096,Game-based training,game-based training intervention,0,45923,NULL,161,1,0.05,Positive,,
,,,,,,,,,,,,,,,,,45923,Traditional lecture-based training,traditional training intervention,,,,,,,,,
,84,,,,,,,H4,The influence of perceived ease of use on behavioral intention to use (EOU-BI) will be higher among users in game-based training when compared to users in traditional training., perceived ease of use, behavioral intention to use,game-based training intervention,traditional training intervention,,,,160,Perceived ease of use, perceived ease of use,1,160,45923,161,1,0.05,Positive,,
,84,,,,,,,,,,,,,,,,161,Behavioral intention to use, behavioral intention to use,1,160,52096,161,1,0.05,Positive,,
,,,,,,,,,,,,,,,,,52096,Game-based training,game-based training intervention,,,,,,,,,
,,,,,,,,,,,,,,,,,45923,Traditional lecture-based training,traditional training intervention,,,,,,,,,
,84,,,,,,,H5,The perceived ease of use-perceived usefulness (EOU-U) relationship will be equivalent across the two types of training interventions.,perceived ease of use,perceived usefulness,training interventions,training interventions,,,,160,Perceived ease of use,perceived ease of use,1,160,52096,159,1,0.05,No effect,,
,84,,,,,,,,,,,,,,,,159,Perceived usefulness,perceived usefulness,1,160,45923,159,1,0.05,No effect,,
,,,,,,,,,,,,,,,,,52096,Game-based training,training interventions,,,,,,,,,
,,,,,,,,,,,,,,,,,45923,Traditional lecture-based training,training interventions,,,,,,,,,
,84,,,,,,,H6,There will be no difference in the perceived usefulness-behavioral intention to use (U-BI) relationship across the two types of training interventions., perceived usefulness,behavioral intention to use ,training interventions,training interventions,,,,159,Perceived usefulness, perceived usefulness,1,159,45923,161,1,0.05,No effect,,
,84,,,,,,,,,,,,,,,,161,Behavioral intention to use,behavioral intention to use ,1,159,52096,161,1,0.05,No effect,,
,,,,,,,,,,,,,,,,,52096,Game-based training,training interventions,,,,,,,,,
,,,,,,,,,,,,,,,,,45923,Traditional lecture-based training,training interventions,,,,,,,,,
,84,,,,,,,H7,The variance in behavioral intention to use explained by perceived ease of use and perceived usefulness will be higher for the group of users in the game-based training  intervention when compared to users in the traditional training intervention.,behavioral intention to use,perceived ease of use ,perceived usefulness,game-based training intervention,traditional training intervention,,,161,Behavioral intention to use,behavioral intention to use,1,160,52096,161,1,0.05,Positive,,
,84,,,,,,,,,,,,,,,,160,Perceived ease of use,perceived ease of use ,1,160,45923,161,1,0.05,Positive,,
,,,,,,,,,,,,,,,,,159,Perceived usefulness,perceived usefulness,,,,,,,,,
,,,,,,,,,,,,,,,,,52096,Game-based training,game-based training intervention,,,,,,,,,
,,,,,,,,,,,,,,,,,45923,Traditional lecture-based training,traditional training intervention,,,,,,,,,
,124,,,,,,,H1,"For hedonic systems, perceived enjoyment is a stronger predictor of behavioral intention to use than perceived usefulness.",perceived enjoyment,behavioral intention to use,perceived usefulness,,,,,272,Perceived enjoyment,perceived enjoyment,0,272,NULL,273,1,0.01,Positive,,
,,,,,,,,,,,,,,,,,273,Behavioral intention to use,behavioral intention to use,,,,,,,,,
,,,,,,,,,,,,,,,,,270,Perceived usefulness ,perceived usefulness,,,,,,,,,
,124,,,,,,,H2,"For hedonic systems, perceived ease of use is a stronger predictor of behavioral intention to use than perceived usefulness.",perceived ease of use ,behavioral intention to use,perceived usefulness,,,,,271,Perceived ease of use,perceived ease of use ,0,271,NULL,273,1,0.01,Positive,,
,,,,,,,,,,,,,,,,,273,Behavioral intention to use,behavioral intention to use,,,,,,,,,
,,,,,,,,,,,,,,,,,270,Perceived usefulness,perceived usefulness,,,,,,,,,
,126,,,n/a,Lauren,,,H1.,Perceived usefulness (PU) will positively effect intended use of a business-to-consumer (B2C) Web site.,Perceived usefulness,intended use,,,,,,289,Perceived usefulness,Perceived usefulness,0,289,NULL,287,1,0.01,Positive,,
,,,,,,,,,,,,,,,,,287,Intended use,intended use,,,,,,,,,
,126,,,,,,,H2.,Perceived ease of use (PEOU) will positively effect intended use of a business-to-consumer (B2C) Web site.,Perceived ease of use,intended use,,,,,,288,Perceived ease of use,Perceived ease of use,0,288,NULL,287,1,0.01,Positive,,
,,,,,,,,,,,,,,,,,287,intended use,intended use,,,,,,,,,
,126,,,,,,,H3.,Perceived ease of use (PEOU) will positively effect perceived usefulness (PU) of a business-to-consumer (B2C) Web site.,Perceived ease of use,perceived usefulness,,,,,,288,Perceived ease of use,Perceived ease of use,0,288,NULL,289,1,0.01,Positive,,
,,,,,,,,,,,,,,,,,289,Perceived usefulness,perceived usefulness,,,,,,,,,
,126,,,,,,,H4.,Trust in the e-vendor will positively effect intended use of a business-to-consumer (B2C) Web site.,Trust, intended use ,,,,,,290,Trust,Trust,0,290,NULL,287,1,0.01,Positive,,
,,,,,,,,,,,,,,,,,287,intended use, intended use ,,,,,,,,,
,126,,,,,,,H5.,Trust will positively effect perceived usefulness (PU).,Trust,perceived usefulness,,,,,,290,Trust,Trust,0,290,NULL,289,1,0.01,Positive,,
,,,,,,,,,,,,,,,,,289,Perceived usefulness,perceived usefulness,,,,,,,,,
,126,,,,,,,H6.,Familiarity with a trustworthy e-vendor will positively effect trust in that e-vendor.,Familiarity,trust,,,,,,292,Familiarity with the e-vendor,Familiarity,0,292,NULL,290,0,NULL,Positive,,
,,,,,,,,,,,,,,,,,290,Trust,trust,,,,,,,,,
,126,,,,,,,H7.,Calculative-based beliefs will positively effect trust in an e-vendor.,Calculative-based beliefs ,trust,,,,,,291,Calculative-based trust,Calculative-based beliefs ,0,291,NULL,290,1,0.01,Positive,,
,,,,,,,,,,,,,,,,,290,Trust,trust,,,,,,,,,
,126,,,,,,,H8.,Perceptions of situational normality will positively effect trust in an e-vendor.,situational normality,trust,,,,,,294,Situational normality,situational normality,0,294,NULL,290,1,0.01,Positive,,
,,,,,,,,,,,,,,,,,290,Trust,trust,,,,,,,,,
,126,,,,,,,H9.,Perceptions of structural assurances built into a Web site will positively effect trust in an e-vendor.,structural assurances ,trust,,,,,,293,Structural assurances,structural assurances ,0,293,NULL,290,1,0.01,Positive,,
,,,,,,,,,,,,,,,,,290,Trust,trust,,,,,,,,,
,126,,,,,,,H10.,Perceived ease of use (PEUO) will positively effect trust in an e-vendor.,Perceived ease of use,trust,,,,,,288,Perceived ease of use,Perceived ease of use,0,288,NULL,290,1,0.01,Positive,,
,,,,,,,,,,,,,,,,,290,Trust,trust,,,,,,,,,
,126,,,,,,,H11.,Situational normality will positively effect perceived ease of use (PEOU).,Situational normality,perceived ease of use,,,,,,294,Situational normality,Situational normality,0,294,NULL,288,1,0.01,Positive,,
,,,,,,,,,,,,,,,,,288,Perceived ease of use,perceived ease of use,,,,,,,,,
,126,,,,,,,H12.,Familiarity with the e-vendor will positively effect perceived ease of use (PEOU).,Familiarity with the e-vendor , perceived ease of use ,,,,,,292,Familiarity with the e-vendor,Familiarity with the e-vendor ,0,292,NULL,288,1,0.01,Positive,,
