Product,Product Stars,Author,Text,Price,Review Stars,Author ID,Date,Title,Verified_Purchase,Helpfulness Total,Helpfulness,Review Ranking
"Sparco Marker Board, Melamine Surface, 8-1/2 x 11 Inches, White (SPR75620)",4.3,Pri,"I am a very forgetful person... For example, if I don't write down that I already paid my rent for next month I'll experience an ""oh s**t!"" moment about 3 days after the due date, second-guessing myself on whether I paid my rent or not. That's where this thing comes in handy for me. I have it stuck to my fridge and I have all my monthly bills written on there with little check boxes. Each month all I change is the month name at the top and remove the check boxes from the previous month. I have a TON of monthly bills (thanks student loans!), yet I can still write them all out on the small board and still have a little bit of room leftover to add random things like certain groceries I want to get.<br/><br/>So far no late bills and no more wondering if my lights are gonna get shut off!",3.31,5.0,A35YEABW3T8OP4,"November 12, 2015",Don't know how I lived without it.,Yes,1,0,61
"Thyroid Support Supplement for Hypothyroidism - (Vegetarian) - A Complex Blend of Vitamin B12, Iodine, Zinc, Selenium, Ashwagandha Root, Copper, &amp; More - 30 Day Supply",4.3,Pri,"I thought I'd give this a try after reading all the great reviews on here, however I'm not convinced. I think most, if not all, the reviewers are experiencing a placebo effect. If you think you really have an underactive thyroid, go see a doctor. They will prescribe you with actual medication that has gone through years and years of clinical research and hundreds of trials. This stuff isn't even regulated by the FDA, yet I still bought it because I wanted to believe all the reviewers that this would be my one-stop shop for all my ailments. My chronic fatigue - did not change. My appetite - did not change. My sensitivity to cold - did not change...  Basically none of the stuff that was promised actually happened.",29.97,2.0,A35YEABW3T8OP4,"November 12, 2015",No change.,Yes,1,0,60
#1 Testosterone Booster Supplement TEST WORx - 6 Week Cycle - Made in the USA- Ingredients proven in HUMAN trials to improve testosterone up to 132%. Satisfaction or your money back GUARANTEED,4.5,Pri,"As a 30 year old male that was beginning to show symptoms of Low-T I thought I'd give this product a shot, especially considering all the rave reviews on here. I can, however, without a doubt say that this product did nothing for me. If anything, I felt worse after taking these pills! None of the ingredients contained within have shown any definitive evidence of boosting blood testosterone levels. For me, this was one expensive placebo that didn't work.",59.95,2.0,A35YEABW3T8OP4,"November 12, 2015",Positive reviews most likely a placebo effect.,Yes,4,2,59
"Taste of the Wild Dry Dog Food, Pacific Stream Canine Formula with Smoked Salmon, 30-Pound Bag",4.6,Pri,"This is the only food that my rescued black lab can eat without throwing up every couple of days. I tried four or five other types and it never failed that he would throw up every 3 or 4 days. Ever since I switched him to this he has not throw up even once! Not to mention he absolutely loves this food! As an added bonus, his coat looks absolutely majestic! The price isn't so bad when you compare it to other ""premium"" brands.",43.99,5.0,A35YEABW3T8OP4,"November 12, 2015",Tango loves it,Yes,4,2,58
"Cascade Platinum Actionpacs, Fresh Scent, 65 Count",4.8,Pri,"I want to preface this by saying that I am extremely lazy and also very frugal. Therefore I only run my dishwasher about once, maybe twice a week. I pack that thing to the brim... I mean, seriously, there are dishes on top of other dishes and I'm really surprised that the top shelf hasn't collapsed from the weight. The upside to not using my dishwasher often is that I save a lot of money because I don't have to use as much water/detergent/rinse aid, etc. The downside is that my nasty dishes, with caked on food and grease, will sit in the dishwasher and dry out, making the stains semi-permanent. This becomes a non-issue though with the Cascade Platinum packs. I throw one of these bad boys in the dispenser and let the dishwasher do its thing and my dishes come out spotless over and over again. Granted, occasionally, I will find a small stain or two still on there, but I blame myself and my dish-stacking for that.",16.89,5.0,A35YEABW3T8OP4,"November 12, 2015",Perfect for the lazy.,Yes,1,1,57
"E-Z Ink (TM) Compatible Toner Cartridge Replacement for Samsung 101 MLT-D101S (1 Black Toner) Compatible With ML-2161/2166w/2160/2165/2165w SCX-3401/3401FH/3406W/3406HW, SCX-3405FW SCX-3400/3405/3405F/3405W/3405FW/3407, SF-761/761P/760P Printer",4.3,Pri,"Works just fine in my Samsung SCX-3405W printer. It is considerably cheaper than the Samsung branded toner and I haven't noticed any issues with print quality. The instructions were slightly unclear and at one point I found myself looking for a piece (that I thought I was supposed to remove from the new toner cartridge) that didn't exist. I can't speak to the longevity of the cartridge yet seeing as how I don't print too many pages in a given week, but I'll update my review as necessary if the toner doesn't last. My only complaint at this time is that they don't provide you with any guidance on recycling the old toner cartridge.",17.99,4.0,A35YEABW3T8OP4,"November 12, 2015",Perfectly working and perfectly inexpensive.,Yes,1,1,56
SatisPet Large Dog Toys Indestructible &amp; Irresistible Chew Rope Toy for Aggressive Chewers X-Large 24-Inch in Green and Red - #1 Best Recommended Tug Rope For Large And Medum Sized Dogs,4.4,Pri,This is the only rope he hasn't been able to completely chew through yet. The knot design is good because it creates a natural handle for me to hold on to as he tries to pull the rope away.,17.99,5.0,A35YEABW3T8OP4,"August 10, 2015",Good for labs,Yes,1,1,55
"iXCC Dual USB 4.8 Amp 24W Universal High Capacity Car Charger for Apple, Samsung, Android and Windows Smartphones and Tablets - Silver",4.4,Pri,"The benefit of having to use your own cords is that you can charge different types of devices at the same time. I can charge just about any electronics that I have while she charges her apples. And you dictate how long of a cord you want to use. It doesn't seem to charge as quickly as my ""QuickCharge 2.0"" standard home charger, but it's faster than my previous car charger which would take hours. The small size is great and can be hidden away. Also the little blue light is a nice touch because some car outlets continue to draw power after the car is off while others don't and this is a good way to see which ones do.",17.99,4.0,A35YEABW3T8OP4,"August 10, 2015",Nice and compact,Yes,6,6,54
BMW genuine fuel filler cap,4.5,Pri,"2006 330xi. This cap looks and fits differently than the stock gas cap that I had. My original had a large, green rubber seal, this one does not. But, this one fits and actually clicks into place, whereas the original had lost some spring tension and would always ""un-click"", causing my SEL to come on every few days this past winter. And yes, it is a genuine BMW part. I think it's the one that comes stock on the Z4, perhaps? Either way, it works.<br/><br/>My SEL has not come on even once since I installed this cap a few months ago.",22.50,5.0,A35YEABW3T8OP4,"April 12, 2015",Works on BMW E90,Yes,6,6,53
TYC 700218 Replacement Blower Assembly for BMW,4.6,Pri,"Perfect replacement for the rusted out blower on my 2006 330XI. I can't fix the water leak that caused the original to rust and seize up, but this one has its guts encased in plastic, so I'm hoping it'll last much longer. Not sure what noise the other reviewer is referring to, maybe they installed it improperly because the only noise I hear is from air rushing through my vents at a very high speed.<br/><br/>The installation is a pain, especially if you're like me and go about it the lazy way by just going under the glove box instead of removing it.",77.08,5.0,A35YEABW3T8OP4,"March 1, 2015",Perfect replacement in 2006 330xi,Yes,6,6,52
"24 Various Collectible New York City Landmark Photos Decorative NY Pictures NYC Souvenir Wall Poster Prints - 8"" X 10""",4,Pri,"Pretty good quality prints, but they're on very, very thin glossy paper. It's not even photo paper. Also, don't expect 18 different pictures, there are a lot of duplicates.",7.99,3.0,A35YEABW3T8OP4,"March 1, 2015",Thin paper. Mostly duplicates.,Yes,,,51
"Picture 6402 on canvas length 40"" height 20"" New York pictures ready to hang framed , brand original Visario!",3.7,Pri,"Quality of the ink is a bit lacking. The pictures had a sticky feel to them as soon as I took them out of the box... Turns out that was the never drying ink on the canvas. I run a humidifier in my apartment and the relative humidity is usually around 50%, this has caused little smears to appear on the prints.",39.00,3.0,A35YEABW3T8OP4,"March 1, 2015",Make sure you keep them bone dry.,Yes,,,50
TCL 50FS5600 50-Inch 1080p LED TV (2014 Model),4.2,Pri,"See updates at the end!<br/><br/>The only low ratings so far are from people that don't understand the purpose of a product review and decided to give 1 star because they had an issue with the seller they bought it from. Those people should not be allowed to internet. Now, ranting aside, I bought this TV after many price and feature comparisons and I could not be any happier.<br/><br/>A few reasons I chose this TV:<br/><br/>3 HDMI inputs. Most of the other 50 inch TVs were not only higher priced, but had only 2 HDMI inputs. I needed 3 so I could connected DISH, Chromecast, and PS3.<br/><br/>Decent built-in speakers. I don't remember the exact wattage, but I think this has 2- 8 watt speakers. Which, of course can't compare to a sound system, but isn't bad for built-in speakers. The other TVs I researched had 6 or 7 watts.<br/><br/>Manufacture date. This might seem kind of trivial, but it's important. This TV model was released this year, which means they had time to improve any bugs, issues, or complaints from the model that was released last year. My specific set shows a manufactured on date of April 2014.<br/><br/>1080p and 120hz and 50 freakin' inches! Those 3 features, at a price below $500.<br/><br/>Initial thoughts upon arrival:<br/>At first I thought they might have sent me a refurbished TV... I'm still not convinced that isn't the case, but I don't want to deal with the hassle of returning such a huge item, plus I bought the extra warranty from square trade which adds an additional 3 years to the already present 1 year manufacturer's warranty. I say it was refurbished (or returned) because of small clues like the glass base having fingerprints all over it and the batteries for the remote being lose in the ziplock bag that had the remote and instruction manual. The fingerprints are easily cleaned as they were on a plastic covering on the glass base. The batteries work. Used or not the TV works wonderfully.<br/>The TV itself looks really nice. It's extremely thin and the bezel on the bottom isn't annoying like it is on most TVs I've owned. The glass base is a nice touch of class as well. The picture looks great and I love the dynamic backlight feature that automatically raises and lowers the backlight of the TV, depending on what's on the screen, to conserve power. This TV has a VERY bright backlight. I actually turned mine all the way down to 0.<br/><br/>I'll update if there are any issues that make me want to lower the rating, but for now I fully recommend this TV if you're in the market.<br/><br/>7/15 - I was watching Sherlock on Netflix and all of a sudden I noticed a black line running from top to bottom about 5 inches from the left of the TV... I thought maybe it was an issue with my Chromecast, so I switched to a different input and it was still there. It's a TV issues. I've contacted customer support. If they have a terrible response I will lower the rating as necessary, but as it stands this is still a good TV.<br/><br/>7/18 - TCL customer service emailed me back, but they weren't very helpful. I guess they didn't fully understand my issue. I replied to their reply and they wrote back a few hours later, which is awesome turnaround. They advised that since it had only been like two weeks since I got the TV, I should return it to Amazon. I was tempted to return it and just get a refund, but I opted for a replacement instead. The TV is beautifully designed and I don't want to get rid of it completely. I lowered my rating to 4 stars, because there is really no excuse for a two week old TV to have dead pixels. Hopefully it was just bad luck and not a sign of the durability of this TV. I'll update if more issues arise.<br/><br/>7/22 - I received my replacement from Amazon... now my suspicions about the 1st set being used have been confirmed! In this one, the batteries were not loose, they were packaged in plastic. Also, the big giveaway was that when I turned the TV on for the first time it had me go through a setup process where I chose my timezone and tv signal type. So far I haven't noticed any dead pixels with this one, and I've definitely been looking harder than I did with the 1st TV.",39.00,4.0,A35YEABW3T8OP4,"July 8, 2014",No buyer's remorse here!,Yes,,,49
3 American Flag Aviator Sunglasses 3 Pairs,4.1,Pri,"I bought these specifically for Stagecoach Music Festival, which is a huge country music festival in California. I didn't expect them to last very long, nor did I need them to. In 3 days they were smashed, thrown, dropped, smashed some more... a little bit of twisting brought them right back to shape. These are great novelty glasses.",10.44,5.0,A35YEABW3T8OP4,"June 29, 2014",Not bad at all for the price,Yes,,,48
"Voltaic Systems 4.0W ""Amp"" 1018-S Portable Solar Charger and 4000mAh USB Battery Backup Bank for iPhone, iPad, Samsung Galaxy, Android, and USB Devices",4.1,Pri,"The day after I got this charger, I was at Fort Riley, KS. Living outside for no less than 11 days. In that time I accidentally put this thing through the wringer, and it came out like a champ...<br/><br/>Story time: I mostly kept this charger on top of the truck while the hot Kansas sun beat down upon us out in the field. If I got the angle just right, I could have the battery fully charged by nightfall, but even with a half charge it's more than enough to keep my cellphone going. I used the charger to also charge another portable (1,000mAh) battery that I have. One day, I had placed the charger, with the included battery, on the roof of one of the trucks. Being sleep-deprived and hungry, I forgot all about it... and we ended up taking the truck into town... with the charger still on top. Queue to 2 hours later, we're still in town, and all of a sudden there's a torrential downpour. I mean, streets were flash flooding. By the time we got back to the field is when I remembered that I had left my charger top of the truck, luckily it was still there, but it was COMPLETELY soaked inside and out. I pressed the button on the battery and it lit up and then quickly shutoff. I tried pressing it again and got no response from the battery this time around. I was a bit bummed thinking that I had just ruined $100. I decided to leave it out in the sun the next day to see if maybe it would dry out. When the sun hit the panels, the battery started flashing the lights as if it was charging... but it was very erratic. It would tell me the battery is full and when I disconnected it, it would just flash random lights. Clearly I had ruined it by getting it soaked, right? ... Nope! I let it sit in the sun, connected to the panels, for a whole day without touching it, and by the end of that day it was operating as normal!<br/><br/>I took away one star because the micro-usb pin that attaches to the USB out cable is ridiculously easy to lose. Mine is sitting in tall grass in the fields of Kansas. They sell new ones on their website, but I'll just use one of the 30 USB to Mini-USB cables I have lying around from all my phone chargers.<br/><br/>Also, I think it takes the battery a few cycles to become efficient at being charged.",79.00,4.0,A35YEABW3T8OP4,"June 29, 2014",Beyond durable...,Yes,2,2,47
"West Paw Design Zogoflex Tux Guaranteed Tough Treat Stuffable Dog Chew Toy, Tangerine",4.5,Pri,"Dtango, my rescue black lab, has a terrible habit of eating his food way too quickly. This habit results in weekly upset stomachs and occasional vomiting of entire bits of kibble. The Tux toy has helped a little bit to alleviate this problem... I use it in combination with a slow-feed bowl. What I do is fill the center with food and place the entire thing on top of his bowl which I've placed a little bit of food in as well. He's forced to eat only a few pieces at a time and he actually chews them now.",15.50,4.0,A35YEABW3T8OP4,"May 26, 2014",I use it to feed my dog,Yes,2,2,46
"Safari® Self-Cleaning Slicker Brush, Large",4.5,Pri,"It was great while it lasted (about 3 months)... eventually the pins became severely bent to the point of actually causing my dog discomfort. I think it was most likely caused by the self-cleaning part of the brush. When you push the little button out, there's nothing to guarantee that it will return in a perfectly straight manner instead of slightly off-center... not sure if that makes sense, but basically the brush caused the pins to bend and once a single pin is bent the rest are just a matter of time. I will most likely buy it again because my dog did enjoy being brushed by it and it appeared to help a little bit with his shedding, but I'll keep it out of careless hands.",9.99,4.0,A35YEABW3T8OP4,"May 26, 2014",It was nice while it lasted,Yes,1,1,45
Corsair CX600 CP-9020048-US 600W Power Supply,4.4,Pri,"It has auto-switching from 220 and 110v of power, All the cables are braided in a mesh plastic-type fabric, which makes cable routing  significantly easier. It has more power connectors than I have need for at this time, which leaves the possibility of future upgrades wide open.",58.99,5.0,A35YEABW3T8OP4,"May 26, 2014",Really great for budget builds,Yes,1,1,44
Mann-Filter CUK 8430 Cabin Filter With Activated Charcoal for select BMW models,4.9,Pri,"The price is unbeatable and the filter fits my '06 330xi perfectly. I replace it about once a year, before the service indicator goes off, but this year I had to replace it twice because there was so much road salt dust in the air that the service indicator came on a lot sooner than usual. The biggest tip I can offer is to make absolutely sure that you put the housing back in place perfectly, otherwise you'll have water leak into the cabin, through the blower motor, and into the carpet on the passenger's side... I know from experience.",19.49,5.0,A35YEABW3T8OP4,"March 10, 2014",What hasn't already been said?,Yes,1,1,43
"Flexi Durabelt Retractable Belt Dog Leash, Large/Extra Large, 16-Feet Long, Supports up to 150-Pound, Black",4.4,Pri,"I rescued a 2/3 year old black lab a few weeks ago and boy is he strong! He doesn't pull on his leash unless he sees a small animal, in which case he'll take off at full speed... This thing, amazingly, has held up to his sudden sprints. I almost feel bad because he gets to the end of the length of leash and gets pulled back a bit depending on how much I've braced myself. I like this leash because it lets me let him roam around a bit but I can hit the lock button if he's starting to get too far away or if he's about to get wrapped around a tree or something. It comes with a little safety collar thing, but I don't remember seeing clear instructions on exactly how to use it... it's supposed to prevent you from getting whipped in the face if your dog's collar breaks and this comes retracting back at you at full speed.",14.42,5.0,A35YEABW3T8OP4,"March 10, 2014",Holding up well so far...,Yes,6,6,42
"MoKo Amazon Kindle Fire HDX 7"" 2013 Case - Slim Folding Cover Case for Amazon Kindle Fire HDX 7.0 Inch 3rd Generation Tablet, BLACK",4.5,Pri,"For what it costs this thing is great. The cover has magnets that keep it shut and turn of the kindle's back-light, but there's also a little spandex-type band that you close around the lid. There's a spandex loop that sticks out to store a pen. There are cutouts for the speakers and controls. There's a few random pockets on the inside of the cover, looks like they'd hold a business card and maybe one holds an SD card? I'm not really sure how useful those are.<br/><br/>My only issue with the case is that it stands vertical... in the pictures it shows you fold back the cover and the kindle will sit at an angle, mine most certainly does not sit at an angle but rather straight up. It makes table-top view annoying if not difficult. But, like I said, for the price I can't really complain about it too much and I end up just leaning the kindle against something if I want to watch a movie without holding it.",14.95,4.0,A35YEABW3T8OP4,"March 10, 2014",Can't really beat the price.,Yes,,,41
"L/XL Black Anti-Pull Mesh Dog Harness Fits Necks 16""-26""",4.2,Pri,"When you adjust this harness to fit your dog, the part where your leash connects hangs loose. Now this has its up and downs. The good thing is that it lets you walk next to your dog without pressure on the dog from the leash. The bad part is that if you take your eye off your dog for even a minute, he or she will chew right through that part of the harness as my lab did when I thought he was just laying down. There has to be a better way to design this harness so that it's adjustable but doesn't have that thin portion hanging like that. That part of the harness also prevented me from leaving the harness on him when I was unleashing him because it flopped around and the metal ring would whip around and hit him.<br/><br/>I really did like this harness until he chewed it up, because the part where his legs rub was nice and soft so I didn't have to worry about him being rubbed raw from long walks. The nice thing about harnesses in general is that they don't put all that unnecessary pressure on the poor dog's neck.",24.43,3.0,A35YEABW3T8OP4,"March 10, 2014",The extra bit that hangs is a design flaw...,Yes,,,40
"OurPets Smarter Toys Interactive IQ Treat Ball Dog Toy, 4 Inches (Colors may vary)",4.1,Pri,"I tried to use Zuke's Mini Naturals in this thing and it just didn't work. The treats took way too long to get out of the toy and my 2/3 year old rescue black lab quickly got bored and moved on to other things. The design flaw seems to be in the main opening, the inside hole is adjustable, but the outside one is not and seems just a bit too small. Even I had trouble getting the treats out of there without taking the ball apart. One thing that kind of amazed me is that my dog can fit this whole ball in his mouth! It's probably the size of a softball...",9.99,3.0,A35YEABW3T8OP4,"March 10, 2014",Didn't work quite as well as I thought it would...,Yes,1,1,39
"Knock Knock Receiptable Organizer, Crap",3.5,Pri,"I bought this as a christmas gift for my sister, the thing fell apart as soon as she opened it up. The adhesive came undone... it could probably be re-glued but what a disappointment for something that hadn't even been used yet.",9.99,2.0,A35YEABW3T8OP4,"March 10, 2014",Crap is right...,Yes,1,1,38
"Cyber Acoustics 30 Watt Powered Speakers with Subwoofer for PC and Gaming Systems in Standard Packaging, (CA-3602a)",4.2,Pri,"These things pump out some serious decibels! I'm considering buying another set to hook up to my TV because the price to quality ratio is very good, but I might just end up buying a really long 3.5 mm male to male cable and running it to my TV from the aux input on the speaker's volume control knob. The bass is nice and deep and the highs are nice and crisp. The volume control is a bit touchy, but you get used to it. They look gorgeous too.<br/><br/>My only issue with them is that they make a humming noise if they're on but not receiving any input, but that is remedied by just flipping the switch to off on the volume control knob.<br/><br/>Edit: turns out it's the subwoofer that hums when there is no sound playing, this can be remedied by just turning the bass dial down.",39.95,4.0,A35YEABW3T8OP4,"March 10, 2014",Surprisingly loud.,Yes,1,1,37
"Zuke's Mini Naturals Dog Treats, Roasted Chicken Recipe, 16-Ounce",4.6,Pri,"My 2/3 year old black lab rescue absolutely loves these. I've used them to teach him to sit on command and I use them as rewards when he's being extra good. He usually hears me opening the bag and next thing I know he's already sitting at my feet, ready for a treat. They smell kinda funky, but that's to be expected from dog treats I guess. These don't work very well with the <a href=""http://www.amazon.com/gp/product/B003ARUKTG"">Smarter Toys IQ Treat Ball Dog Toy, 5 Inches (Colors may vary)</a> . They spill into the center just fine, but they don't come out of the main opening very well.",6.49,5.0,A35YEABW3T8OP4,"March 10, 2014",He loves them!,Yes,1,1,36
"Diamond Naturals Dry Food for Adult Dogs, Large Breed 60+ Chicken Formula, 40 Pound Bag",4.2,Pri,"The 2/3 year old black lab that I rescued a couple of weeks ago is my first real pet. Before I went and picked him up from the shelter, I did a *TON* of research on different foods/treats/toys/medicines... everything. After extensive research on the food, I opted to go with this one. Of course, the flavor you choose will change things a bit, but for the most part this food is well made and well-digested. I haven't had any issues with my dog refusing to eat, in fact, if anything, he always wants more! Every now and then I'll grab a few kibbles and trick him into thinking they're treats.<br/>So why did I choose this over say Blue Buffalo? Well... this company makes all those premium dog foods, but this line costs significantly less. The ingredients are all things that are recommended for dogs, nothing that is known to be terrible for them. I like that the chicken one has chicken as the first two ingredients, and not chicken by-products either... I've noticed that all of the cheaper foods have by-products. This food has a relatively high protein content when compared to other foods and he seems to be handling it really well. His coat has a nice shine to it now, but honestly I don't know if that's just because I got him from a shelter and he is in a better environment now.<br/><br/>I did, however, read about how this company had several recalls on food, but that is a risk you take with any food product that purchase and don't prepare yourself, even human foods. The best thing to do is sign up with websites that notify you right away whenever there is a pet food recall. The recall didn't seem to affect all of their products, and only applied to certain plants (they have plants in a few states in the US).",39.51,4.0,A35YEABW3T8OP4,"March 10, 2014",Did a lot of research before buying...,Yes,3,3,35
Beck Arnley 044-0352 Automatic Transmission Filter Kit,5,Pri,"This was a perfect fit for my 2006 BMW 330XI. It looks exactly like the one that came with the car, including two magnets. If you have access to a car lift, this is a pretty simple install. The hardest part was that I had to unbolt part of my drive-shaft since it's an all-wheel drive model, the shaft gets in a the way a bit. The other issue I ran into during the install was bolts getting stripped from being so rusty. BMW claims they use a lifetime fluid, but why risk it? The old fluid was dark grey and there was sludge and shrapnel stuck to the magnets of the original filter/pan.",90.48,5.0,A35YEABW3T8OP4,"March 10, 2014",Perfect fit and not too difficult to install.,Yes,3,3,34
