Ranking,Percent Helpful,Author,Total Reviews,Author ID,Helpful Votes
45,0.94,D. Blankenship,3724,A1MC6BFHWY6WC3,24778
46,0.99,Doug Erlandson,4291,A1LACH6MLQWZ,7902
47,0.93,Spudman,3019,A3HPCRD9RX351S,15873
48,0.95,Frank Peters,286,A63TRJP2XQCD3,10227
49,0.94,Y. R. Wu,1209,A357B3PUHSVQA,18758
50,0.95,Timothy B. Riley,1158,A17HMM1M7T9PJ1,25379
51,0.94,Noname,4299,A22CW0ZHY3NJH8,20684
52,0.95,Reviewer Dr. Beth,2528,AK7CAW3N1XZV6,38000
53,0.94,Z Hayes,4529,A1POFVVXUZR3IQ,25006
54,0.93,Darren Levine,303,A1UIMU8Q87ZPCH,13378
55,0.93,Steven H Propp,11208,A2OJW07GQRNJUT,13166
56,0.92,Mohawked Reviewer,1942,APRNS6DB68LLV,14795
57,0.96,BlueEyedTechieInTX,510,A3SR3PZM0IQ6OR,3094
58,0.89,Johnny Amazon,776,A3VVMIMMTYQV5F,9628
59,0.93,Madison T. Edwards,4386,A2PF64RBR1G1SZ,4250
60,0.93,Matt Morgan,1632,A34VRVI4CSI5RQ,9858
61,0.9,Steve Ramm,2287,ASEBX8TBYWQWA,18633
62,0.95,meymoon,517,A3JT5XR92IFRVL,27590
63,0.92,prisrob,3207,A1TPW86OHXTXFC,20381
64,0.93,Phil (not) in Mgnoli,1180,A1WPFIZ8P3O86V,6537
65,0.9,Debbie Lee Wesselmann,2422,A23GFTVIETX7DS,33769
66,0.91,J.Carra,563,A22PKZZK5DSONS,5249
67,0.89,Johny Tech Reviewer,1340,A1BLC62SBF3PNQ,8478
68,0.94,Dr. Who,1080,A5CDMTW6JKV5G,10111
69,0.92,GB,1877,A8VI7KMUHI7ZH,6795
70,0.89,Chuck Bittner,1681,A4WEZJOIZIV4U,18355
71,0.96,a long way from home,603,A1VGHTDOZXOOYP,7259
72,0.95,William Hardin,319,A26R7LLAFTPC3U,38876
73,0.93,Roseanne M.,950,A2PNBB4GXRG14K,5055
74,0.89,Daniel,642,A2LXOCYJ2CGMHK,2760
75,0.94,Stuart Jefferson,1292,A3L9FT8OJY4Q6I,14227
76,0.94,L. M. Keefer,3282,A1GQAKL9CGQLP1,9460
77,0.91,RatherLiveInKeyWest,3099,A2XX2A4OJCDNLZ,7677
78,0.92,Aundrea,977,A2VYLXYG3H6TYN,5285
79,0.94,Ciaran,899,A2AY4YUOX2N1BQ,10912
80,0.91,Talvi,2482,A2WW57XX2UVLM6,11145
81,0.93,Natalya the Spy,1267,A1IGCUY11IG8I2,5853
82,0.91,Lon J. Seidman,573,A26877IWJGISYM,17886
83,0.89,Obi Wan,1286,A2IK776FY6MEMG,6918
84,0.97,Tom Nimitz,326,A2UBD4V6AMH6MO,2493
85,0.92,Kristy Stout,591,A1F6VYVD2T23T9,5030
86,0.94,John B. Goode,3041,AYB4ELCS5AM8P,7685
87,0.95,Dr D,1382,A3RR2P5IS3DGPR,7129
88,0.92,AmazonJavaJunki,1528,A19XMHRB3G4DIR,15061
89,0.91,Michael J. Edelman,2072,A1RPTVW5VEOSI,26432
90,0.94,NF,354,AZXFS8GCTSQ5R,14695
91,0.89,Beau Chevassus,1011,A1IJUCICSBF7LA,7619
92,0.95,Alessa Arman,1630,AF5AJ5V9T6LTS,2593
93,0.9,Amazon Customer Since Amazon Sold Only Books,1090,A30R8VFR16RE32,9243
94,0.88,Grady Harp,15265,A328S9RN3U5M68,92102
95,0.92,ZapNZs,615,A27EE7X7L29UMU,5466
96,0.97,BellaBella by the sea ~~~,720,A32WT1ZEE4QGZB,3642
97,0.95,D. Matheny,648,ATFBVUXDIRXT6,12954
98,0.93,K. Groh,3658,A1EVV74UQYVKRY,10437
99,0.93,Long-Suffering Technology Consumer,1529,A3CW0ZLUO5X2B1,8571
100,0.93,ealovitt,3062,A13OFOB1394G31,21948
101,0.93,Lynne E.,1297,A2MJ8OL2FYN7CW,12478
102,0.95,Scott,816,AIBRTGBN07D6A,59882
103,0.92,Amazon Customer,524,A2XOOQ9N7OQVIA,5572
104,0.9,Stephen Lerch,1978,A3A4ZAIBQWKOZS,13619
105,0.92,D&D;,790,A1JXV4SWMTR3XF,10511
106,0.96,MoonX,228,A1AZ7G19GEHCFB,25439
107,0.95,Chel Micheline,1239,A1PAGHECG401K1,9395
108,0.9,Vdub,399,A1PSBR3JRZ9VO0,8550
109,0.94,L. Mountford,1544,A2MNB77YGJ3CN0,8283
110,0.94,TChris,1089,A1DLVUJFANNU1Q,13013
111,0.91,M. Hill,1429,A35Q0RBM3YNQNF,11504
112,0.89,Helpful Advice,2311,A3UW23DBF2KHWC,10303
113,0.93,Sid Nuncius,1391,A1JUKS0DSO2XZG,7907
114,0.95,C. MacPhail,863,A10ZFE6YE0UHW8,13096
115,0.95,C. G. King,1039,AY3XPKRAMKKY7,12165
116,0.87,Paul Allaer,3263,A14GK0E64J0WAS,31866
117,0.9,MyD -- The Viewpoint,279,A29XWXJ525HH7O,9586
118,0.93,Bichon Mom,582,A28Q0JA9H8WZOD,4778
119,0.93,T. Adlam,565,A1CVFUQ1PGSIJL,7155
120,0.9,Liquid Frost,928,A15PYCET4XH22X,5527
121,0.93,D. Coral,1136,A1VGXHHR08G044,7894
122,0.92,TM massage,145,A6U2O5KZG06TI,8662
123,0.97,George O'Leary,6176,AQ4B80F0JSBNI,13516
124,0.93,delicateflower152,1440,A3MEMX0XF00TBD,11433
125,0.92,Anthony J.,1176,A3H4S6YO9VNGDZ,5724
126,0.94,Peter Durward Harris,4216,A2U49LUUY4IKQQ,26617
127,0.9,Becky reviews,1865,A3AZI828WJN1CD,9109
128,0.91,Steven Housden,656,A2SWGQVH78I33R,3681
129,0.89,Karen C,1221,AMFTVGYZ7CJ2N,3837
130,0.94,Pop Bop,2232,A2AIE9DO5QSVBD,6834
131,0.9,E. Bukowsky,2230,AC1K4OQOZ90RS,29722
132,0.89,Ryan Flick,858,A260SSASBXC090,7282
133,0.97,Benson Leung,97,A25GROL6KJV3QG,8882
134,0.87,Holly Berry,1780,A388KNV094E8C6,3792
135,0.91,Yarii,1550,A3CG93783LP0FO,11378
136,0.93,HMS Warspite,2881,A2TXR85WQLE32N,12042
137,0.91,Martin A Hogan,2329,AWPODHOB4GFWL,20917
138,0.96,P.K. Frary,602,A3OA4DV4L81N1D,4323
139,0.92,Tim D.,1249,AAEVGE52KL0DJ,4282
140,0.85,the ReviewNotes,1175,A3CJIKSI14N529,19138
141,0.94,Amazon Customer,673,A39Z2B6SZKCUZO,3639
142,0.93,Afia,3670,A3NHUQ33CFH3VM,14315
143,0.83,Jason Thorson,520,A2HFKZSUH7IEG4,1124
144,0.9,Lisa Kearns,1879,AEC90GPFKLAAW,8078
145,0.92,Grandma,1422,A2WZNM833CJH82,10508
146,0.91,CKE,1280,A18YMFFJW974QS,23052
147,0.9,wogan,3006,A2V92F5R7MLCVI,17561
148,0.9,Amazon Deity,2065,A3AYSYSLHU26U9,12412
149,0.91,John Thomas,1612,A35W3JQYP0M655,16736
150,0.91,"Chief,  USN Ret...VT Town",2200,A2G5IFYYHFIQNB,6939
151,0.92,CoolStuffReviews!,354,A1QOHYD1ZWKHZ,1493
152,0.9,Nuk,3924,A1ODOGXEYECQQ8,14448
153,0.96,Ray,645,A2VODABWSVHV8E,6497
154,0.92,Kitty Smith,1631,A155HPY5S449YF,3874
155,0.9,Robert Morris,3258,A26JGAM6GZMM4V,43526
156,0.89,Joel Avrunin,1189,A34CSXOGVYF94S,10043
157,0.91,Happy Reader,1021,A20FK68BUB1IVA,8093
158,0.94,Sneaky Burrito,2782,A2GJX2KCUSR0EI,9656
159,0.89,JMM,768,AL9WKVMRI6GFB,8412
160,0.93,Dave Edmiston,1219,A2BLFCOPSMBOZ9,7195
161,0.87,G.I Gurdjieff,3223,A2ZY49IDE6TY5I,14346
162,0.91,Matinikk,631,A3H48JGW7UB7PI,2955
163,0.86,I Do The Speed Limit,2597,AT53ZTTO707MB,10489
164,0.89,Jim,1463,A1SB9BNNGKNX2Z,8494
165,0.9,Allen Smalling,1673,A3NQU1649SH0Q4,14314
166,0.96,I. Giles,1657,A3JV7KL1ECLZB8,5410
167,0.9,Expressed Reviews,903,A100UD67AHFODS,10094
168,0.9,Yu-Jin Chia,1098,A1YEPFLLH42OU1,8961
169,0.91,Kate McMurry,1504,A37MH7ICH80QOX,16064
170,0.84,rpv,3753,A2NOW4U7W3F7RI,14538
171,0.89,Kcorn,1808,A1ER5AYS3FQ9O3,33887
172,0.93,O. Merce Brown,1633,A1YUL9PCJR3JTY,27455
173,0.97,ggrl,234,A3CDCOSX46AB14,2283
174,0.93,LegoGirl,931,A13J2PGKNMJG1K,3614
175,0.88,B. Marold,2687,A20IIR0422G3A5,60382
176,0.93,Wood B. Hermit,406,A3JWD0WQ3VEZEX,6368
177,0.9,Bane Tech,299,A19ONI88D2DYS8,1588
178,0.95,Work of Life,496,A3FKPBNI7UWQFW,20615
179,0.94,Shala Kerrigan,1539,A1GYEGLX3P2Y7P,9266
180,0.87,Miss Barbara,1296,ATECU14VUIOJ0,6821
181,0.9,Wayne Klein,3011,AQP1VPK16SVWM,41198
182,0.9,S. Johnson,1269,A2UNWFVHL0JWBH,2607
183,0.94,majormusiclover,1357,A1C7Y31S5QXNTR,4694
184,0.89,R. Fuqua,1657,A244XDQ6PVS0HM,2847
185,0.9,SW,1071,A2Q8GFSEUSGJ51,6471
186,0.91,Leanne,1572,A2V5R832QCSOMX,19232
187,0.88,Steve Taylor,1408,ARIDN94LOCQFD,6842
188,0.88,H. Bala,3045,A2HVL790PBWYTU,21263
189,0.98,Dennis Waller,2095,A1U5XB6PCIDLIK,3553
190,0.87,Amazon Customer,1835,A1CSXI7MKL6UKR,9115
191,0.94,Dave Millman,546,A3B20R4ZAH0Y2Y,8850
192,0.92,Stoney,807,AI0BCEWRE04G0,9153
193,0.96,Stuart Dunn,574,A3PXQW7JEG2S94,3899
194,0.88,Raven Wilder,706,A1J75JJ0Q2OEJN,10551
195,0.89,Adam Wood,1134,A1J5HIF41ENSMZ,7941
196,0.94,Amazon Customer,2119,A3EPHBMU07LZ50,7899
197,0.93,S Riaz,1122,A2T7JK9FLC8V0N,5479
198,0.91,C. Hill,5707,A3OXHLG6DIBRW8,24086
199,0.92,Dii,2749,A18JHVX925K101,4924
200,0.93,Erik1988,821,A2F1P10GGZ7K2T,8281
201,0.88,Jill Meyer,1156,ANH8VL45X2L1S,14505
202,0.93,Mark Barry,1219,A129YBX5BVNW2,9515
203,0.92,jeanneserenity,465,A312UBIOP091MH,3700
204,0.89,Deep Thought,569,A3M16JSEXT9IKR,4120
205,0.88,EA Solinas,7542,A1D2C0WDCSHUWZ,85187
206,0.92,Peter Suslock,753,A11FX8HL2ANK6T,8587
207,0.91,sb-lynn,810,A2GPJR489OIH42,13203
208,0.88,Kilgore Gagarin,1042,A2XCCN239AR1XK,7520
209,0.87,Ladybug,1078,AGBFIQMV9L61Y,4791
210,0.86,S. Power,4748,A11I1I9QLMAM1A,13142
211,0.94,Justin D Blackburn,773,A2IYNIR1S221IA,2474
212,0.94,Brett H,639,AUX7KVELDYZZ6,7952
213,0.95,Candid Reviewer,288,A1SC7Z2646QCP9,6555
214,0.94,Patto,1519,A324NNSMM9EFML,6724
215,0.89,Tibbie,1269,A7U2GPWUHBI4Z,5045
216,0.92,Nate,1872,AGVWTYW0ULXHT,14585
217,0.89,Lynn,1813,A1PI8VBCXXSGC7,6711
218,0.89,Roger Brunyate,1406,A8IPQ1Q1O7YX5,12592
219,0.92,Cricket,1228,A353U0L2HAMSHV,7166
220,0.9,JDThird,1427,ABQWMANK4AR63,11311
221,0.9,scott strachan,636,AO9LDPUTA0919,3838
222,0.89,Jeri Zerr,2105,A3TAS1AG6FMBQW,7012
223,0.87,Joseph Dewey,1353,A321W4SSC0F6AP,6986
224,0.89,Trieditall,1820,A1MJFTAZUCGNYU,3226
225,0.9,Roger J. Buffington,1985,A2XRMQA6PJ5ZJ8,17236
226,0.88,Goldengate,1473,A8WEXFRWX1ZHH,9751
227,0.88,"Tom, the Squirrel Whisperer",1438,AYMRFK1O33IQ3,5742
228,0.91,Jreshow,328,A3SWILFZNIU1HO,2969
229,0.9,Mad Max,841,A1HOLE9R6WPT85,10128
230,0.9,JP,1967,AZMY6E8B52L2T,6654
231,0.95,Randy Watson,326,A29FJK41SRREUH,1903
232,0.95,Amazon Customer,1305,A17O9AHKHK66AI,5871
233,0.93,Catrinka,574,A2IDRAYYZ5GKBZ,5250
234,0.91,Gama,1463,A28EMTHVF120XV,5109
235,0.89,Rebecca of Amazon,6418,A281NPSIMI1C2R,59630
236,0.91,ConsumerAdvocate (dakotad555) at (gmail) dot (com),1388,A250AXLRBVYKB4,19097
237,0.89,Margaret Picky,4471,A1UQBFCERIP7VJ,9063
238,0.88,Jana L.Perskie,1439,A1RECBDKHVOJMW,29212
239,0.89,mirasreviews,2060,A3UPYGJKZ0XTU4,21369
240,0.89,Gen of North Coast Gardening,1820,A2MBLVMVDLHK1L,11459
241,0.87,J. Williams,114,ADWP5NJV74F56,789
242,0.9,YellowTableReviews,829,ADGMSI6W0GQ1Q,2975
243,0.87,Tizzy-Licious,2359,A298XK9GQO0TYN,4952
244,0.87,J. Tant,1129,AXUJFOFQZNTN,3549
245,0.91,Evie Seo,518,A2UYQ4ZBNOFIMV,5728
246,0.95,RC,281,A30SZ5HVLKTN45,4250
247,0.93,Mike O'Connor,2296,AN3MHNH3C8FJE,9347
248,0.9,Let's Compare Options Preptorial,728,A2OY5TUB6O5WXE,7445
249,0.95,I'd rather be at the Beach,5509,A3E5V5TSTAY3R9,2561
250,0.89,EMBLA,990,A1J01E9VKEZW1N,3862
251,0.91,Lincoln,598,A3BVN2QBNPBHCR,12854
252,0.89,[KNDY] Dennis A. Amith,2624,A2FRKEXDXDN1KI,20541
253,0.93,I. Peters,771,A1VUN4JU731CBH,10030
254,0.91,DLH,1125,A2UOHALGF2X77Q,8452
255,0.88,Lantana Al,1629,A1T1YSCDW0PD25,7686
256,0.96,R. Ferguson,547,A23KACXOE9O9TX,5888
257,0.9,Robin Lee,1216,ASKZO80Z1RKTR,10214
258,0.91,Evelyn Getchell,764,AYWUHB7N8XGZQ,10709
259,0.87,John Chancellor,1357,A3KPD3WLML2Q4E,8965
260,0.91,Fairbanks Reader,1937,A39650P2CZUUC9,15658
261,0.93,K.,461,AI8DDPX23JCV2,2036
262,0.88,Sara Ellis,920,A3SETGFGBQ9YL3,2894
263,0.91,JJ,1431,AQIJ3ZEEVCIKU,15019
264,0.86,Darren O'Neill,1263,A2XXBZPQT5EXHV,4962
265,0.94,Hyoun Kim,372,A12B7ZMXFI6IXY,8833
266,0.92,John Williamson,1017,AEJAGHLC675A7,22090
267,0.87,Heidi M,948,A2ME6M4X08NLDJ,1402
268,0.87,Zachary S. *Tech Reviewer*,973,A2LTYEYGKBYXRR,7821
269,0.9,lawyeraau,3703,A1L43KWWR05PCS,38498
270,0.89,Douglas C. Meeks,975,A3NVB6HKMUH2NM,7489
271,0.84,NewAgeMama,3357,A1PTBXZG04GT29,8151
272,0.88,PositiveLogic,1265,A32LX4XJ2LU740,6454
273,0.91,J. Pappan,705,AA7P2NEC94K79,4569
274,0.87,Kristi Gilleland,3048,A2R1HUYHXV7H18,6119
275,0.92,S. Lionel,730,A2NB2E5DXE319Z,6435
276,0.9,Lisa Shea,2572,A3V6Z4RCDGRC44,45126
277,0.9,Terry,890,A1FDSZISWIXH1A,6998
278,0.88,Amazon Customer,980,A1AG5ZSIQYR46U,4417
279,0.91,Matthew G. Sherwin,4819,A2R6RA8FRBS608,35265
280,0.92,V. Hutson,510,AMBFK6N4JS5Z2,9299
281,0.82,Carol S.,3645,A26W75LB3V1HUF,7388
282,0.92,Louie the Italian Jew,596,A3NID9D9WMIV01,16447
283,0.91,Space Salamander,1237,A5GPH59NDWJRB,6295
284,0.87,Bella Forte,1593,A3TEZD91KQLJ3R,4762
285,0.92,Freelance Helpers International,902,A1DHKKNNW6H783,8275
286,0.91,Whistlers Mom,1336,A39529JJJEEDP5,3770
287,0.9,Zack Davisson,2409,A2B8GXSCB1R05T,23928
288,0.89,Gina B,1241,A1R377IPZOKLMM,4229
289,0.86,Cute Chihuahua,3285,AEL6CQNQXONBX,7478
290,0.9,me perdue,1318,A2V9DTXTQ5YIMK,6841
291,0.88,TooManyHobbies,879,A1YH6DMZOS59A2,6771
292,0.96,JoshuaB,134,A2QDYGI5OETYV3,12245
293,0.96,Librarian,385,A295A2TPG8JJ7Y,4278
294,0.93,Annie Van Auken,9130,A1GGOC9PVDXW7Z,26300
295,0.94,Ed,633,A2BMZRO0H7TFCS,17847
296,0.88,Robert Moore,2988,A16QODENBJVUI1,63097
297,0.91,Phil,669,A2E2Q4CNJ2NJAS,1986
298,0.94,Jane in Milwaukee,1175,A3UYWYY168L2Q9,4482
299,0.91,Amazon Enthusiast,667,A3H7NPNDMGLOU4,5838
300,0.94,Kyle J. Von Bose,231,A2BC94DUL2FII7,11545
301,0.89,Anthony L.,376,A3LTZGHZBBBQX0,13177
302,0.92,Justin G.,4953,A2X7NBUETXC19E,13112
303,0.85,W.T.Hoffman,1272,A3MHGA6BJJ7P27,7451
304,0.9,B. Case,551,A75W6T9I2S8BA,7969
305,0.87,Summers Love,877,AOADTSGQ0CULN,2233
306,0.88,PBnWhine,1069,A3E1MSQ2D7WY4R,2842
307,0.87,Maura Ann Rubies,751,A35NOFKHK8P2LU,3141
308,0.97,UpperDown,195,A1JFFG7VZIP12Y,10061
309,0.87,Amz.Girl,1531,ABNV2QA8IJPJ1,6007
310,0.92,Blue Rose,466,A2O6JRYQ2XAT7C,1884
311,0.93,G. Conner,387,A1TVFEIAK9EMID,8559
312,0.94,Ralph Moore,2639,A1F89OE7BAM7EL,8116
313,0.96,Amazon Customer,460,AQ6H1FC6SI8U1,3686
314,0.89,Twister,279,A2DKQQIZ793AV5,5454
315,0.86,Kathy Cunningham,716,AJNW2SVETWAW1,8246
316,0.93,Fun Times Mom,290,A2TIP4NEY64PLK,2469
317,0.87,KHansen,2299,AXX1KX6HFGTCF,4593
318,0.9,Maine Colonial,495,A6OSDNASR0BVX,9573
319,0.89,Two kids mom,1015,A22I55P15NSAOX,7214
320,0.96,Neil Isenberg,215,A3D7BGK0P5QY0X,8343
321,0.84,Vanessa Crespo,1652,A31COYV4FKJEYL,3976
322,0.89,OLT,974,AUZ3EJAU37NC5,7840
323,0.92,B. Colonna,844,A3T4OHEAHOJ700,7080
324,0.9,Lewis A Edge Jr,943,A2OKRGHIYTBQ6P,6938
325,0.95,Robert C. ross,1154,A2NN6H2RZENG24,1644
326,0.84,Tweak,1298,A2D8L49KEYKAQS,3502
327,0.91,J. Arena,3786,AKMEY1BSHSDG7,10752
328,0.96,William Timothy Lukeman,1217,A3T46X7M3AUDAB,7402
329,0.88,Giuseppe C.,3084,A6FIAB28IS79,39794
330,0.88,SJudge,1042,A1GNYV0RA0EQSS,3376
331,0.89,tvtv3,3554,A96K1ZGW56S2I,17525
332,0.89,Ralph Furlong,716,A1NGFGBX2VCQS8,5542
333,0.96,Dr. Joseph Lee,607,ACCGLD049CRBI,2269
334,0.89,Eric Romaine,1214,A2DG63DN704LOI,7299
335,0.93,Mary Whipple,2453,A319KYEIAZ3SON,30048
336,0.92,Richard and Liz,2656,A1R0798K5DDQZP,2523
337,0.89,M. JEFFREY MCMAHON,1131,A3NCIN6TNL0MGA,17731
338,0.85,Busy working Mom,1060,A2CP4POWON1O24,3367
339,0.98,Victor H. Agresti,547,AYM76JWI220Z4,11584
340,0.94,Nathaniel Allen,580,A2K5RRMPICZ606,7710
341,0.98,Steven Binko,120,A23VBW7L9DH7HA,2948
342,0.93,Katherine Chan,1420,A3U029B8Z5WGI2,3379
343,0.96,Jeffrey A,503,A265PCQZA1Y1WF,4155
344,0.9,Wandrwoman,646,A2GHU8I0P3HFRW,8515
345,0.9,TFLReader,2085,A2AOG5TS7W6OXY,2885
346,0.91,H. Erickson-Sander,539,A2E3NAL9ECE7VS,6925
347,0.92,JZS,243,A22UILFTP4Y4C2,4485
348,0.89,ReviewsByJennifer,618,A2IUGX6TDLNUJK,2840
349,0.89,Ladyfingers,787,A3C2JQC6R2K52C,3428
350,0.9,Joe Wood,612,A3O2NS5RJ7OU5G,2856
351,0.89,trebe,2391,A6VXZ1EEPRTLV,11084
352,0.87,Kathleen San Martino,859,A3D9NUCR4RXDPY,5977
353,0.95,Matthew Coenen,329,A3M2XWZ7SMFBS1,8514
354,0.9,Marbl Productions,840,ALW627505UD4D,2637
355,0.9,S. McGee,1002,A3FMZ98X1GIYV9,13084
356,0.88,Dawn Dolly Webb,935,AOZFQAPPLMVOB,2977
357,0.88,Addicted Shopper,1883,A3790GS8ZFYMRS,4824
358,0.9,Jill I. Shtulman,790,A3MFGULNTMAJS9,12114
359,0.89,Robert I. Hedges,2598,A2NOZB6VZCTOI4,21798
360,0.94,Dr. Debra Jan Bibel,1433,A1ANRKHR4QWXJU,6348
361,0.9,Katawampas,981,AW6J9IILGOZY3,5171
362,0.93,Tante Maren,508,A19YOYY7FLQMA6,9284
363,0.89,takingadayoff,920,A3FDBBQ0NK2SSO,11299
364,0.92,J_Onyx,323,A2JOPUWVV0XQJ3,8985
365,0.9,R. M. Fisher,1161,A4FX5YCJA630V,9370
366,0.9,Wayne,790,A23NSKTMSPPBTR,7829
367,0.82,Author/Reviewer Geri Ahearn,1953,A2SQJPUCZNHMZE,15524
368,0.87,Jeremy Haggard,1906,A1ZU55TM45Y2R8,9751
369,0.92,Judy L.,520,A2U8QA856AC193,3571
370,0.91,ARH,890,A32T2H8150OJLU,6332
371,0.85,Tony Ha,1298,A6L9KOTK81C0X,2698
372,0.9,Vyshtia,722,AYPIF2S8P3RZT,4968
373,0.86,Clay,659,A13NSQQSABDB8A,3679
374,0.92,ZenWoman,1881,A6VPK7X53QNAQ,13062
375,0.86,Christopher Powell,546,A2IFKH3TJ10387,1622
376,0.89,GaulReviews,631,AXUEJKW94ZBJK,2389
377,0.9,Book Shark,532,AN89MYMWS3FI8,9209
378,0.84,Rachel Ocampo,2917,A1OS4KPCCWY936,4005
379,0.92,Alexus Johnson,403,A171ITAMNOUCY8,2401
380,0.92,Joe Crescenzi,377,A5QDZEOIMQ4LW,3319
381,0.84,ShannonOnTheLakes,3272,A2YKWYC3WQJX5J,6297
382,0.88,kkrome25,551,A1FR68QH6Z4YZM,3108
383,0.88,D. Buxman,1007,AVXGN90BU95P8,10580
384,0.88,David Wineberg,337,A7HXF84CCR1XD,6991
385,0.88,Christopher J. Cowen,1038,A38C12950IM24P,4447
386,0.92,Handsome Grandpa,188,A370ZZZWVJF3C3,1985
387,0.85,Al,1233,A3PC3AQ9M9TNRF,5778
388,0.88,Kathy Habel,2615,A3KAKFHY9DAC8A,5360
389,0.88,Michelle,628,A3G0AZUVX89F2J,1945
390,0.92,Bill Loguidice,142,A13UP2FQ74VWUD,393
391,0.9,J. Hill,787,A1NF9WS7RR82MX,5039
392,0.91,JPS,930,A1HS4595P8TLG8,3861
393,0.88,Joy Blair,1334,ADB7FW533YLUY,1415
394,0.86,AlmostEverything84,1213,AT8TS7XTO8TIE,2525
395,0.84,Cyrus Webb,3290,A3TI1WDAEOTD0I,6102
396,0.9,Gary F. Taylor,1833,ACIBQ6BQ6AWEV,34239
397,0.92,Robert Steven Thomas,431,A1APNR15UXR4JT,3943
398,0.89,Mary Lins,582,A2T1B8LGQRYCEA,12886
399,0.92,Terry Sunday,588,AOE0XMITAJWDT,8274
400,0.87,Rbhatta,885,A18HE80910BTZI,12916
401,0.87,Ryan J. Dejonghe,476,A2D8TFFD96QEAG,5306
402,0.9,Kenneth Depree,921,A2JE071UW97J2A,3841
403,0.91,AlleyCat,786,AAS4E02BPFAMT,1422
404,0.94,Steve Vrana,1360,A1GIIPXONCEEHP,23717
405,0.91,CA Reviews,412,ANYTXWI3WZDCH,1266
406,0.88,Jody,1990,A1M1Y5UGONAW06,5434
407,0.89,Brent Butler,1448,A25UZ7MA72SMKM,7166
408,0.85,D.D,1501,A10ZBR6O8S8OCY,4371
409,0.89,Big Data Paramedic,361,A1VCAOFHSTNK6G,3508
410,0.87,BBP,1463,A3QNQQKJTL76H0,8407
411,0.85,John D. Cofield,1055,A2TUA4VWCMNXI,17219
412,0.89,Rebecca,920,A276OI0NHBYORX,7520
413,0.87,MyPenName,2017,A1QBOC76MIOJYP,4515
414,0.92,Bron,1302,A3PD8JD9L4WEII,5221
415,0.92,SteadyVG,452,A12S2VWERFRAH1,1501
416,0.82,Richard C. Drew,2243,A3LGT6UZL99IW1,9909
417,0.89,Pam - because there's cheese...,3258,AQ6AGWKWMTY8H,14496
